,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,meanDealerSharpeRatio,meanDealerSharpeRatioNoNeg,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,16.63,23.421242933860746,1.68,1.8345785871044196,1.4,43.9,72.4,0.9797999557425695,2.44,2.3,1.9145413814449068,0.13,0.08,0.08,-91551625.08999991,-1020142605.4199998
1,24.36,32.48,21.41543198104631,1.71,1.8143006579134497,1.4,45.0,72.4,0.9871414948514828,2.44,1.84,1.8473985158872979,0.17,0.08,0.08,-91551625.08999991,618722945.76
2,24.36,16.63,23.421242933860746,1.68,1.8345785871044196,1.4,43.9,72.4,0.9797999557425695,2.44,2.3,1.9145413814449068,0.13,0.08,0.08,-91551625.08999991,-1020142605.4199998
3,24.36,32.48,21.41543198104631,1.71,1.8143006579134497,1.4,45.0,72.4,0.9871414948514828,2.44,1.84,1.8473985158872979,0.17,0.08,0.08,-91551625.08999991,618722945.76
4,24.36,16.63,23.421242933860746,1.68,1.8345785871044196,1.4,43.9,72.4,0.9797999557425695,2.44,2.3,1.9145413814449068,0.13,0.08,0.08,-91551625.08999991,-1020142605.4199998
5,24.36,32.48,21.41543198104631,1.71,1.8143006579134497,1.4,45.0,72.4,0.9871414948514828,2.44,1.84,1.8473985158872979,0.17,0.08,0.08,-91551625.08999991,618722945.76
6,24.36,16.63,23.421242933860746,1.68,1.8345785871044196,1.4,43.9,72.4,0.9797999557425695,2.44,2.3,1.9145413814449068,0.13,0.08,0.08,-91551625.08999991,-1020142605.4199998
7,24.36,32.48,21.41543198104631,1.71,1.8143006579134497,1.4,45.0,72.4,0.9871414948514828,2.44,1.84,1.8473985158872979,0.17,0.08,0.08,-91551625.08999991,618722945.76
8,24.36,16.63,23.421242933860746,1.68,1.8345785871044196,1.4,43.9,72.4,0.9797999557425695,2.44,2.3,1.9145413814449068,0.13,0.08,0.08,-91551625.08999991,-1020142605.4199998
9,24.36,32.48,21.41543198104631,1.71,1.8143006579134497,1.4,45.0,72.4,0.9871414948514828,2.44,1.84,1.8473985158872979,0.17,0.08,0.08,-91551625.08999991,618722945.76
10,24.36,16.63,23.421242933860746,1.68,1.8345785871044196,1.4,43.9,72.4,0.9797999557425695,2.44,2.3,1.9145413814449068,0.13,0.08,0.08,-91551625.08999991,-1020142605.4199998
11,24.36,32.48,21.41543198104631,1.71,1.8143006579134497,1.4,45.0,72.4,0.9871414948514828,2.44,1.84,1.8473985158872979,0.17,0.08,0.08,-91551625.08999991,618722945.76
12,24.36,16.63,23.421242933860746,1.68,1.8345785871044196,1.4,43.9,72.4,0.9797999557425695,2.44,2.3,1.9145413814449068,0.13,0.08,0.08,-91551625.08999991,-1020142605.4199998
13,24.36,32.48,21.41543198104631,1.71,1.8143006579134497,1.4,45.0,72.4,0.9871414948514828,2.44,1.84,1.8473985158872979,0.17,0.08,0.08,-91551625.08999991,618722945.76
14,24.36,16.63,23.421242933860746,1.68,1.8345785871044196,1.4,43.9,72.4,0.9797999557425695,2.44,2.3,1.9145413814449068,0.13,0.08,0.08,-91551625.08999991,-1020142605.4199998
15,24.36,32.48,21.41543198104631,1.71,1.8143006579134497,1.4,45.0,72.4,0.9871414948514828,2.44,1.84,1.8473985158872979,0.17,0.08,0.08,-91551625.08999991,618722945.76
16,24.36,16.63,23.421242933860746,1.68,1.8345785871044196,1.4,43.9,72.4,0.9797999557425695,2.44,2.3,1.9145413814449068,0.13,0.08,0.08,-91551625.08999991,-1020142605.4199998
17,24.36,32.48,21.41543198104631,1.71,1.8143006579134497,1.4,45.0,72.4,0.9871414948514828,2.44,1.84,1.8473985158872979,0.17,0.08,0.08,-91551625.08999991,618722945.76
18,24.36,16.63,23.421242933860746,1.68,1.8345785871044196,1.4,43.9,72.4,0.9797999557425695,2.44,2.3,1.9145413814449068,0.13,0.08,0.08,-91551625.08999991,-1020142605.4199998
19,24.36,32.48,21.41543198104631,1.71,1.8143006579134497,1.4,45.0,72.4,0.9871414948514828,2.44,1.84,1.8473985158872979,0.17,0.08,0.08,-91551625.08999991,618722945.76
