,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,meanDealerSharpeRatio,meanDealerSharpeRatioNoNeg,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,16.04,13.889068251040438,1.74,1.9017171104814004,1.4,29.1,72.4,0.9793711485148469,2.44,2.34,1.9309551998382528,0.18,0.08,0.08,-91551625.08999991,-352883011.67
1,24.36,32.28,22.19923832534415,1.67,1.840229838350298,1.4,43.4,72.4,0.9870434059405915,2.44,1.83,1.8631334050853408,0.17,0.08,0.08,-91551625.08999991,501706154.5399999
2,24.36,16.04,13.889068251040438,1.74,1.9017171104814004,1.4,29.1,72.4,0.9793711485148469,2.44,2.34,1.9309551998382528,0.18,0.08,0.08,-91551625.08999991,-352883011.67
3,24.36,32.28,22.19923832534415,1.67,1.840229838350298,1.4,43.4,72.4,0.9870434059405915,2.44,1.83,1.8631334050853408,0.17,0.08,0.08,-91551625.08999991,501706154.5399999
4,24.36,16.04,13.889068251040438,1.74,1.9017171104814004,1.4,29.1,72.4,0.9793711485148469,2.44,2.34,1.9309551998382528,0.18,0.08,0.08,-91551625.08999991,-352883011.67
5,24.36,32.28,22.19923832534415,1.67,1.840229838350298,1.4,43.4,72.4,0.9870434059405915,2.44,1.83,1.8631334050853408,0.17,0.08,0.08,-91551625.08999991,501706154.5399999
6,24.36,16.04,13.889068251040438,1.74,1.9017171104814004,1.4,29.1,72.4,0.9793711485148469,2.44,2.34,1.9309551998382528,0.18,0.08,0.08,-91551625.08999991,-352883011.67
7,24.36,32.28,22.19923832534415,1.67,1.840229838350298,1.4,43.4,72.4,0.9870434059405915,2.44,1.83,1.8631334050853408,0.17,0.08,0.08,-91551625.08999991,501706154.5399999
8,24.36,16.04,13.889068251040438,1.74,1.9017171104814004,1.4,29.1,72.4,0.9793711485148469,2.44,2.34,1.9309551998382528,0.18,0.08,0.08,-91551625.08999991,-352883011.67
9,24.36,32.28,22.19923832534415,1.67,1.840229838350298,1.4,43.4,72.4,0.9870434059405915,2.44,1.83,1.8631334050853408,0.17,0.08,0.08,-91551625.08999991,501706154.5399999
10,24.36,16.04,13.889068251040438,1.74,1.9017171104814004,1.4,29.1,72.4,0.9793711485148469,2.44,2.34,1.9309551998382528,0.18,0.08,0.08,-91551625.08999991,-352883011.67
11,24.36,32.28,22.19923832534415,1.67,1.840229838350298,1.4,43.4,72.4,0.9870434059405915,2.44,1.83,1.8631334050853408,0.17,0.08,0.08,-91551625.08999991,501706154.5399999
12,24.36,16.04,13.889068251040438,1.74,1.9017171104814004,1.4,29.1,72.4,0.9793711485148469,2.44,2.34,1.9309551998382528,0.18,0.08,0.08,-91551625.08999991,-352883011.67
13,24.36,32.28,22.19923832534415,1.67,1.840229838350298,1.4,43.4,72.4,0.9870434059405915,2.44,1.83,1.8631334050853408,0.17,0.08,0.08,-91551625.08999991,501706154.5399999
14,24.36,16.04,13.889068251040438,1.74,1.9017171104814004,1.4,29.1,72.4,0.9793711485148469,2.44,2.34,1.9309551998382528,0.18,0.08,0.08,-91551625.08999991,-352883011.67
15,24.36,32.28,22.19923832534415,1.67,1.840229838350298,1.4,43.4,72.4,0.9870434059405915,2.44,1.83,1.8631334050853408,0.17,0.08,0.08,-91551625.08999991,501706154.5399999
16,24.36,16.04,13.889068251040438,1.74,1.9017171104814004,1.4,29.1,72.4,0.9793711485148469,2.44,2.34,1.9309551998382528,0.18,0.08,0.08,-91551625.08999991,-352883011.67
17,24.36,32.28,22.19923832534415,1.67,1.840229838350298,1.4,43.4,72.4,0.9870434059405915,2.44,1.83,1.8631334050853408,0.17,0.08,0.08,-91551625.08999991,501706154.5399999
18,24.36,16.04,13.889068251040438,1.74,1.9017171104814004,1.4,29.1,72.4,0.9793711485148469,2.44,2.34,1.9309551998382528,0.18,0.08,0.08,-91551625.08999991,-352883011.67
19,24.36,32.28,22.19923832534415,1.67,1.840229838350298,1.4,43.4,72.4,0.9870434059405915,2.44,1.83,1.8631334050853408,0.17,0.08,0.08,-91551625.08999991,501706154.5399999
