,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,meanDealerSharpeRatio,meanDealerSharpeRatioNoNeg,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,28.12,21.779663435163457,1.89,2.009903517232067,1.4,29.3,72.4,0.9751762869306914,2.44,3.01,3.0291239118798425,0.19,0.08,0.08,-91551625.08999991,437457663.11999995
1,24.36,28.12,19.58723629024233,1.75,1.5854706766805398,1.4,35.3,72.4,0.9766594354455429,2.44,2.82,2.7138338955193215,0.16,0.08,0.08,-91551625.08999991,564747301.53
2,24.36,26.14,19.134534392192826,1.79,1.9134198154786766,1.4,34.3,72.4,0.9725379207920776,2.44,3.21,3.2019622715835325,0.13,0.08,0.08,-91551625.08999991,220051088.48999995
3,24.36,29.5,26.426182176046765,1.7,1.8528345851207888,1.4,42.6,72.4,0.9758709007920775,2.44,2.91,2.8855002527833915,0.11,0.08,0.08,-91551625.08999991,251363966.26999998
4,24.36,27.72,25.157435562388063,1.72,1.7438793687801668,1.4,66.6,72.4,0.9730799998019787,2.44,3.17,3.007392076111938,0.08,0.08,0.08,-91551625.08999991,196734866.01
5,24.36,28.91,16.871702546847036,1.85,1.8531319385834084,1.4,41.9,72.4,0.9766950295049487,2.44,2.86,2.8575646923806377,0.1,0.08,0.08,-91551625.08999991,348970468.4200001
6,24.36,28.32,20.081559483889418,1.97,2.067906998605812,1.4,11.6,72.4,0.9746640988118795,2.44,3.09,3.0532719356371945,0.13,0.08,0.08,-91551625.08999991,79032091.5999999
7,24.36,27.52,22.177041609275626,1.82,1.7300087246787375,1.4,45.6,72.4,0.9732392869306914,2.44,3.17,3.0264618517704127,0.09,0.08,0.08,-91551625.08999991,695812953.5699999
8,24.36,30.1,17.34426577486993,1.66,1.8122322851287893,1.4,38.8,72.4,0.9741997128712855,2.44,3.08,3.168670919176672,0.08,0.08,0.08,-91551625.08999991,418076894.03999996
9,24.36,26.93,15.931435143622869,1.74,1.8353431209874804,1.4,21.1,72.4,0.9756566631683152,2.44,2.9,2.8722679775961244,0.2,0.08,0.08,-91551625.08999991,738453681.9299998
10,24.36,27.92,18.09126981911005,1.93,1.9189986647882677,1.4,29.3,72.4,0.9759799304950478,2.44,2.94,3.04502868497891,0.12,0.08,0.08,-91551625.08999991,450711606.84000003
11,24.36,29.7,26.916996927272745,1.82,2.01035830301191,1.4,35.0,72.4,0.9737125839603944,2.44,3.17,3.0238903715705154,0.13,0.08,0.08,-91551625.08999991,157484341.43000007
12,24.36,28.91,21.721676092524493,1.74,1.6868049916750751,1.4,31.2,72.4,0.9757737918811862,2.44,2.92,2.767248978549508,0.13,0.08,0.08,-91551625.08999991,27374329.71999991
13,24.36,28.51,19.90342620817356,1.85,2.0850935963075585,1.4,32.9,72.4,0.9753349502970279,2.44,2.99,2.899967029103194,0.13,0.08,0.08,-91551625.08999991,353510343.72
14,24.36,26.93,24.42721044807724,1.69,1.8758061666574923,1.4,44.4,72.4,0.9757207918811864,2.44,2.88,2.864968615241182,0.1,0.08,0.08,-91551625.08999991,-23335573.049999952
15,24.36,29.7,26.251584647469716,1.71,1.6935432940698683,1.4,57.0,72.4,0.9744349306930675,2.44,3.06,2.874781756292999,0.08,0.08,0.08,-91551625.08999991,-77955566.76999998
16,24.36,27.92,17.000353687722153,1.74,1.6974895045855902,1.4,23.1,72.4,0.9737489799999985,2.44,3.11,3.047157597618318,0.16,0.08,0.08,-91551625.08999991,398185230.11
17,24.36,30.3,30.052637452625547,1.75,2.0152305060206173,1.4,27.4,72.4,0.9753863166336614,2.44,2.99,2.9113462764868596,0.18,0.08,0.08,-91551625.08999991,-136184098.5500002
18,24.36,28.91,28.18766192302366,1.87,1.9601504295140249,1.4,34.3,72.4,0.9754709106930674,2.44,2.99,2.893958024218164,0.17,0.08,0.08,-91551625.08999991,147960333.76
19,24.36,29.11,28.00770821616419,1.73,1.9158363677313346,1.4,46.1,72.4,0.9743519603960378,2.44,3.07,3.185543551347862,0.13,0.08,0.08,-91551625.08999991,267793571.16999996
