,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,meanDealerSharpeRatio,meanDealerSharpeRatioNoNeg,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,14.06,10.936636817729497,1.69,1.8730850238170746,1.4,9.6,72.4,0.9377632770297026,2.44,6.46,4.419903579308846,0.12,0.08,0.08,-91551625.08999991,239939452.19000006
1,24.36,13.47,17.313577660600888,1.75,1.7396492708085212,1.4,43.9,72.4,0.9394832824752472,2.44,6.29,4.497008875328318,0.06,0.08,0.08,-91551625.08999991,-225641624.69
2,24.36,13.86,14.918510235533253,1.84,1.7718507029289943,1.4,21.2,72.4,0.9379287720792076,2.44,6.46,4.394789084261922,0.08,0.08,0.08,-91551625.08999991,-262433031.21999997
3,24.36,14.85,18.65981639137331,1.49,1.3259636328178483,1.4,51.4,72.4,0.9389998019801975,2.44,6.32,4.47731388882975,0.07,0.08,0.08,-91551625.08999991,-228404160.4600001
4,24.36,14.46,24.24195328143063,1.47,1.6764152552657932,1.4,52.3,72.4,0.9379042527722771,2.44,6.42,4.612865561823975,0.06,0.08,0.08,-91551625.08999991,-583931712.27
5,24.36,13.07,7.959303450219436,2.22,1.9181919909730498,1.4,9.3,72.4,0.9367448811881183,2.44,6.61,4.4041382771629465,0.12,0.08,0.08,-91551625.08999991,344951385.87
6,24.36,14.06,11.175567874189262,1.93,1.7674356014960209,1.4,41.8,72.4,0.9356883861386135,2.44,6.7,4.340438535536729,0.05,0.08,0.08,-91551625.08999991,-159710115.19
7,24.36,11.88,10.946632531651524,1.88,1.7306838725390141,1.4,32.3,72.4,0.9344531683168311,2.44,6.78,4.697957614321568,0.05,0.08,0.08,-91551625.08999991,-180726955.32
8,24.36,12.28,7.362130316175934,1.6,1.6100919047454965,1.4,10.6,72.4,0.9385099900990097,2.44,6.34,4.327620477945472,0.11,0.08,0.08,-91551625.08999991,273931943.02
9,24.36,10.5,3.577269158321989,1.92,2.0877624249517277,1.4,7.2,72.4,0.9392027522772273,2.44,6.28,4.445656865784509,0.1,0.08,0.08,-91551625.08999991,109589489.38000001
10,24.36,11.09,5.974965358840248,2.36,2.423349968566856,1.4,4.3,72.4,0.9379403067326727,2.44,6.47,4.263204420198357,0.11,0.08,0.08,-91551625.08999991,10089082.300000012
11,24.36,15.05,10.56651863168938,1.67,1.5606017555209108,1.4,10.8,72.4,0.9375408712871284,2.44,6.5,4.635594718917403,0.1,0.08,0.08,-91551625.08999991,126544137.19000006
12,24.36,9.9,2.6104827869389937,2.04,2.3886305700129213,1.4,3.2,72.4,0.933868108910891,2.44,6.81,4.557009955141435,0.11,0.08,0.08,-91551625.08999991,77235079.90999998
13,24.36,11.29,9.88154791908708,1.82,1.7735618678196876,1.4,22.0,72.4,0.9354659405940592,2.44,6.66,4.481238317628552,0.06,0.08,0.08,-91551625.08999991,77634488.75999993
14,24.36,14.06,4.924362007220147,1.77,1.8696205645386998,1.4,7.9,72.4,0.936657811881188,2.44,6.58,4.509906022957045,0.1,0.08,0.08,-91551625.08999991,174458936.74
15,24.36,12.28,11.905579226714263,1.99,2.333407225924932,1.4,22.0,72.4,0.9357531386138614,2.44,6.67,4.466078639097451,0.07,0.08,0.08,-91551625.08999991,-68842733.77000004
16,24.36,10.69,7.659686102330915,1.99,2.0740525306420428,1.4,7.6,72.4,0.9352279007920791,2.44,6.69,4.524350990936476,0.13,0.08,0.08,-91551625.08999991,209803197.53
17,24.36,13.27,9.595253126780074,1.84,1.9123090280254686,1.4,7.8,72.4,0.934733346534653,2.44,6.77,4.583150172622441,0.17,0.08,0.08,-91551625.08999991,-128062131.06
18,24.36,12.08,7.727346981273711,1.92,1.8581913513123243,1.4,3.3,72.4,0.9379794156435641,2.44,6.43,4.431899378696617,0.1,0.08,0.08,-91551625.08999991,308809156.34999996
19,24.36,12.28,9.81950391495067,1.9,1.7860957077410515,1.4,12.5,72.4,0.9340447821782175,2.44,6.83,4.412033366006981,0.11,0.08,0.08,-91551625.08999991,272036835.2900001
