,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,meanDealerSharpeRatio,meanDealerSharpeRatioNoNeg,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,35.84,34.77299033366638,1.48,1.8148013531529557,1.4,55.6,72.4,0.988020985247523,2.44,1.73,1.8252074583212277,0.16,0.08,0.08,-91551625.08999991,-544847604.1100001
1,24.36,41.98,45.91059427530117,1.51,1.7602895736557815,1.4,59.8,72.4,0.9896455991089099,2.44,1.66,1.8427452919529606,0.19,0.08,0.08,-91551625.08999991,-388193989.3299999
2,24.36,39.01,43.68569451737355,1.52,1.7950507580838857,1.4,53.4,72.4,0.9895208763366318,2.44,1.64,1.8248065562692823,0.26,0.08,0.08,-91551625.08999991,-382400767.6299999
3,24.36,39.01,39.45757896321015,1.46,1.8101633529530825,1.4,51.4,72.4,0.9890427674257414,2.44,1.66,1.8856408677335064,0.24,0.08,0.08,-91551625.08999991,-566890657.48
4,24.36,44.36,43.76143011846704,1.56,1.7692334025135013,1.4,54.4,72.4,0.9911634604950477,2.44,1.57,1.8276364033142538,0.27,0.08,0.08,-91551625.08999991,-370561313.4799998
5,24.36,46.93,45.99709399078578,1.55,1.8086612644279638,1.4,48.8,72.4,0.9912685892079186,2.44,1.6,1.8154751800710769,0.24,0.08,0.08,-91551625.08999991,-341501386.1299999
6,24.36,42.57,45.466689659929365,1.54,1.7803129336070367,1.4,60.8,72.4,0.989794856534651,2.44,1.67,1.8386414414498817,0.18,0.08,0.08,-91551625.08999991,-454047467.4299998
7,24.36,46.34,45.26732456186097,1.64,1.7937749968019996,1.4,53.5,72.4,0.9918670545544555,2.44,1.57,1.8247620766190848,0.26,0.08,0.08,-91551625.08999991,-415856969.2800002
8,24.36,38.02,44.07057505743198,1.52,1.7727794705456799,1.4,53.3,72.4,0.9890622525742551,2.44,1.67,1.8172841213589994,0.27,0.08,0.08,-91551625.08999991,-388211798.05999994
9,24.36,35.05,40.46733744068492,1.54,1.830819833846212,1.4,56.0,72.4,0.9884799060396027,2.44,1.69,1.8181635129988205,0.26,0.08,0.08,-91551625.08999991,-568380427.83
10,24.36,43.17,43.3717950520495,1.51,1.8055429577542799,1.4,61.3,72.4,0.9905674010891077,2.44,1.59,1.8487286060781156,0.19,0.08,0.08,-91551625.08999991,-436064012.6299999
11,24.36,38.61,39.24309882791545,1.49,1.7994899382080753,1.4,52.1,72.4,0.989464232772276,2.44,1.63,1.8511598832880172,0.15,0.08,0.08,-91551625.08999991,-645851846.5800002
12,24.36,35.64,47.6385486181784,1.48,1.788926368991404,1.4,50.1,72.4,0.988207282277225,2.44,1.7,1.8943886226325608,0.16,0.08,0.08,-91551625.08999991,-1145484124.65
13,24.36,46.53,47.53432246745563,1.61,1.8184304698130715,1.4,54.5,72.4,0.9917447971287117,2.44,1.57,1.8255770679090715,0.26,0.08,0.08,-91551625.08999991,-326694920.84000015
14,24.36,39.01,38.477381777226924,1.48,1.8046929052498977,1.4,58.5,72.4,0.9897929357425723,2.44,1.59,1.7987048677072575,0.18,0.08,0.08,-91551625.08999991,-691831610.79
15,24.36,42.77,43.559028096461475,1.57,1.804440320385976,1.4,46.4,72.4,0.9898079753465315,2.44,1.69,1.840770345004762,0.26,0.08,0.08,-91551625.08999991,-384520400.0
16,24.36,39.41,40.70889564426835,1.57,1.7561810180149975,1.4,67.1,72.4,0.9893591535643533,2.44,1.68,1.836935873045763,0.16,0.08,0.08,-91551625.08999991,-337672236.1600001
17,24.36,44.16,45.69690292590056,1.48,1.7739442125091307,1.4,53.3,72.4,0.9907455595049489,2.44,1.58,1.817001135070283,0.27,0.08,0.08,-91551625.08999991,-307915232.21000004
18,24.36,37.82,43.01644325496296,1.5,1.835111032432922,1.4,61.1,72.4,0.9890626585148503,2.44,1.66,1.8009140738737488,0.27,0.08,0.08,-91551625.08999991,-368896222.53
19,24.36,46.93,44.990336152915305,1.54,1.787065007597833,1.4,49.5,72.4,0.9915509601980184,2.44,1.56,1.8299650561727159,0.29,0.08,0.08,-91551625.08999991,-54134399.119999886
