,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,meanDealerSharpeRatio,meanDealerSharpeRatioNoNeg,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,50.1,45.80844089970591,1.68,1.7593523556340516,1.4,50.7,72.4,0.992063851287127,2.44,1.63,1.8267369669541254,0.21,0.08,0.08,-91551625.08999991,432433365.33000016
1,24.36,43.56,40.64759899974,1.62,1.819575561596574,1.4,47.6,72.4,0.9905983911881189,2.44,1.64,1.8691853014256545,0.26,0.08,0.08,-91551625.08999991,-649468115.88
2,24.36,46.14,54.23395606068583,1.54,1.7540938966584732,1.4,53.9,72.4,0.9914199456435634,2.44,1.56,1.775146635781896,0.22,0.08,0.08,-91551625.08999991,-542720285.1699998
3,24.36,35.84,36.477922405291224,1.58,1.8589035363453699,1.4,54.6,72.4,0.9880826189108902,2.44,1.75,1.8594838193330905,0.25,0.08,0.08,-91551625.08999991,-391991631.08000016
4,24.36,41.98,41.4766625398501,1.55,1.8131133078987123,1.4,54.8,72.4,0.9902249258415832,2.44,1.62,1.8329725401018793,0.25,0.08,0.08,-91551625.08999991,-630708146.9500002
5,24.36,40.2,41.535707850320684,1.54,1.7657780765797035,1.4,50.0,72.4,0.9890541634653438,2.44,1.71,1.8833177079598111,0.2,0.08,0.08,-91551625.08999991,-802475366.1500001
6,24.36,47.33,47.873066574533155,1.61,1.7996389849876437,1.4,55.3,72.4,0.9919976090098998,2.44,1.56,1.8260458627454783,0.27,0.08,0.08,-91551625.08999991,-244862235.75000024
7,24.36,42.38,51.37604541765401,1.57,1.8182023826792473,1.4,37.6,72.4,0.9894518664356415,2.44,1.72,1.9264231894189552,0.23,0.08,0.08,-91551625.08999991,-1191615242.4399998
8,24.36,49.5,53.46208228448038,1.52,1.7325057490190785,1.4,44.7,72.4,0.9911524802970277,2.44,1.63,1.8250566555472778,0.24,0.08,0.08,-91551625.08999991,-425672643.94000006
9,24.36,35.05,41.86069277061378,1.5,1.871006305468725,1.4,51.4,72.4,0.9880607773267299,2.44,1.72,1.9018131103790163,0.27,0.08,0.08,-91551625.08999991,-492472574.01
10,24.36,35.25,47.074644085154425,1.56,1.7627996079537678,1.4,39.9,72.4,0.9840656090098978,2.44,2.14,2.062761432743872,0.16,0.08,0.08,-91551625.08999991,-1354734721.2699997
11,24.36,41.98,41.4766625398501,1.55,1.8131133078987123,1.4,54.8,72.4,0.9902249258415832,2.44,1.62,1.8329725401018793,0.25,0.08,0.08,-91551625.08999991,-630708146.9500002
12,24.36,45.35,44.67909975176545,1.58,1.7895325196832672,1.4,45.7,72.4,0.9901463416831661,2.44,1.7,1.9292954114100966,0.24,0.08,0.08,-91551625.08999991,-420895539.48000026
13,24.36,44.75,41.37522675377795,1.58,1.755520169022868,1.4,52.5,72.4,0.9904655793069288,2.44,1.66,1.8373526705168823,0.13,0.08,0.08,-91551625.08999991,-886809629.73
14,24.36,39.8,41.946799252190466,1.45,1.7671440656771398,1.4,55.6,72.4,0.9893653020792071,2.44,1.64,1.81414962814615,0.27,0.08,0.08,-91551625.08999991,-587281249.1600001
15,24.36,46.53,42.429297058856925,1.54,1.7678377523881479,1.4,46.6,72.4,0.9912414208910875,2.44,1.59,1.811116619905265,0.25,0.08,0.08,-91551625.08999991,-598192567.3499997
16,24.36,40.0,43.76552083365241,1.58,1.8321131180232046,1.4,54.8,72.4,0.9898119654455417,2.44,1.65,1.831077676924619,0.28,0.08,0.08,-91551625.08999991,-356750243.60000014
17,24.36,46.73,44.229030747774516,1.69,1.824075041499208,1.4,54.8,72.4,0.9920060446534639,2.44,1.59,1.862748532765516,0.21,0.08,0.08,-91551625.08999991,-369780759.24
18,24.36,45.74,45.995053660605556,1.52,1.7302880363195206,1.4,41.2,72.4,0.9902523911881173,2.44,1.67,1.8550119021182834,0.23,0.08,0.08,-91551625.08999991,-659553440.3000002
19,24.36,49.7,49.136209730316956,1.62,1.734731181634654,1.4,48.0,72.4,0.9916053119801953,2.44,1.64,1.78854456469288,0.25,0.08,0.08,-91551625.08999991,19020972.75
