,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,meanDealerSharpeRatio,meanDealerSharpeRatioNoNeg,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,29.11,27.229622957090644,1.48,1.770411267290002,1.4,57.4,72.4,0.9857358910891079,2.44,1.85,1.9141303268590426,0.11,0.08,0.08,-91551625.08999991,-803863012.04
1,24.36,43.17,38.66599365104578,1.7,1.8236658815581108,1.4,53.1,72.4,0.9903356288118803,2.44,1.7,1.88845206191064,0.18,0.08,0.08,-91551625.08999991,-297518037.5799999
2,24.36,29.5,32.27786904061524,1.54,1.790297385423907,1.4,40.3,72.4,0.9862050646534645,2.44,1.83,1.8547017651217232,0.21,0.08,0.08,-91551625.08999991,-923903175.72
3,24.36,44.36,44.46642924333912,1.6,1.7950290735307917,1.4,43.4,72.4,0.9887210347524739,2.44,1.83,1.881315805738595,0.23,0.08,0.08,-91551625.08999991,-220461065.53999996
4,24.36,19.41,25.711121845353468,1.56,1.4618696410978373,1.4,42.5,72.4,0.9603006433663337,2.44,4.27,4.975496728910983,0.13,0.08,0.08,-91551625.08999991,-434947371.39999986
5,24.36,24.55,30.73452514625656,1.34,1.6413548725483906,1.4,49.6,72.4,0.9823309998019784,2.44,2.09,1.9496965451412915,0.2,0.08,0.08,-91551625.08999991,-480725547.88
6,24.36,40.99,41.740013031786475,1.57,1.8204629001847807,1.4,46.4,72.4,0.9896885793069293,2.44,1.67,1.9544922924933033,0.26,0.08,0.08,-91551625.08999991,-490710367.8299999
7,24.36,42.77,33.06081942974875,1.58,1.7670460590181292,1.4,28.2,72.4,0.9901474554455438,2.44,1.66,1.8266135799157517,0.17,0.08,0.08,-91551625.08999991,-172729306.56999993
8,24.36,29.7,33.26867497506345,1.57,1.8074207109826268,1.4,45.9,72.4,0.9783181582178186,2.44,2.63,2.331149596127728,0.16,0.08,0.08,-91551625.08999991,-305891835.1700001
9,24.36,29.7,28.66533073165996,1.52,1.8952324981970292,1.4,51.4,72.4,0.9857368019801956,2.44,1.88,1.9498985543796383,0.18,0.08,0.08,-91551625.08999991,-599281756.4000001
10,24.36,31.49,34.8549011918973,1.52,1.7910368948560969,1.4,60.3,72.4,0.9865504010891065,2.44,1.82,1.8753241873401845,0.17,0.08,0.08,-91551625.08999991,-698696011.39
11,24.36,19.8,23.38013002255817,1.45,1.6985008565202797,1.4,50.4,72.4,0.979000465148511,2.44,2.39,2.1024612103499587,0.1,0.08,0.08,-91551625.08999991,-961044856.2300003
12,24.36,35.64,32.967304847751365,1.63,1.8202622311085044,1.4,46.8,72.4,0.9878609799999989,2.44,1.79,1.8718887560714195,0.17,0.08,0.08,-91551625.08999991,-333289308.88
13,24.36,18.02,23.68380244670706,1.66,1.9577952402212222,1.4,26.4,72.4,0.9778612673267306,2.44,2.51,2.088124422494886,0.16,0.08,0.08,-91551625.08999991,-1138993423.55
14,24.36,12.67,22.408689343701944,1.63,1.8839344426957505,1.4,45.1,72.4,0.9726896633663327,2.44,2.94,2.1698244502142,0.09,0.08,0.08,-91551625.08999991,-1171257356.6399999
15,24.36,20.2,13.514044736950591,1.58,1.8869847018188142,1.4,31.0,72.4,0.9797988910891056,2.44,2.34,2.078885520845277,0.11,0.08,0.08,-91551625.08999991,-148292031.54999995
16,24.36,37.43,37.18802735207997,1.54,1.7138028082004426,1.4,57.4,72.4,0.9869572822772265,2.44,1.88,1.8970313734919844,0.13,0.08,0.08,-91551625.08999991,-888062509.32
17,24.36,30.5,22.699750596538003,1.66,1.925659176829147,1.4,33.0,72.4,0.9855915445544531,2.44,1.94,1.870475636256493,0.14,0.08,0.08,-91551625.08999991,5292593.899999976
18,24.36,24.55,35.829457716056595,1.65,1.9265276652447643,1.4,49.3,72.4,0.97137681188119,2.44,3.26,2.740635299268858,0.14,0.08,0.08,-91551625.08999991,-561040407.16
19,24.36,27.92,38.93976068807085,1.5,1.6862051816705161,1.4,49.6,72.4,0.9508543020792057,2.44,5.33,5.4070862572201115,0.2,0.08,0.08,-91551625.08999991,-451146771.46000004
