,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,meanDealerSharpeRatio,meanDealerSharpeRatioNoNeg,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,29.5,24.271027591913192,1.65,1.6677560959467739,1.4,42.2,72.4,0.974277564158414,2.44,3.06,2.8919447313433047,0.14,0.08,0.08,-91551625.08999991,555213805.3699999
1,24.36,29.7,20.800235374029196,1.82,1.9240259873504844,1.4,21.4,72.4,0.9760531782178202,2.44,2.93,2.8657816893077435,0.24,0.08,0.08,-91551625.08999991,97223399.4799999
2,24.36,29.5,18.932608364690015,1.79,1.7940966912921736,1.4,34.9,72.4,0.9745527623762358,2.44,3.07,3.002450086506761,0.09,0.08,0.08,-91551625.08999991,367941761.25
3,24.36,27.52,22.214406275048518,1.7,1.848914424869202,1.4,34.4,72.4,0.9747855247524733,2.44,2.99,2.800408712845461,0.13,0.08,0.08,-91551625.08999991,78666979.83000004
4,24.36,26.53,23.61991200144234,1.83,2.0346387806026014,1.4,22.8,72.4,0.9745836983168302,2.44,3.02,2.9200449721047446,0.14,0.08,0.08,-91551625.08999991,27279565.649999857
5,24.36,30.3,23.745163454180055,1.75,1.814253117625351,1.4,40.9,72.4,0.9756991782178202,2.44,2.96,2.9307194621262633,0.12,0.08,0.08,-91551625.08999991,386071296.6999999
6,24.36,27.33,18.99205594101832,1.96,2.081171657345681,1.4,32.8,72.4,0.9749028415841572,2.44,3.04,3.050171751558356,0.09,0.08,0.08,-91551625.08999991,309819680.14000005
7,24.36,29.31,25.24100080080262,1.75,1.911993952108594,1.4,50.2,72.4,0.9763041089108896,2.44,2.88,2.955839577536761,0.13,0.08,0.08,-91551625.08999991,557037278.89
8,24.36,29.7,23.94082360874595,1.74,1.7992769880766437,1.4,46.6,72.4,0.9755533364356418,2.44,2.96,2.8768750232129516,0.09,0.08,0.08,-91551625.08999991,437956771.53999996
9,24.36,31.88,29.88471622030363,1.57,1.5994299586851466,1.4,33.1,72.4,0.9746463119801964,2.44,3.03,3.1734067418218603,0.11,0.08,0.08,-91551625.08999991,85568473.54999983
10,24.36,26.34,22.088365396492986,2.07,1.9903143274785131,1.4,28.0,72.4,0.9757935148514831,2.44,2.96,2.6653392886518334,0.16,0.08,0.08,-91551625.08999991,302146635.26
11,24.36,27.72,22.321234519191965,1.73,1.7115934814866836,1.4,40.3,72.4,0.9757522426732657,2.44,2.9,2.8762297236571412,0.1,0.08,0.08,-91551625.08999991,45814212.53999996
12,24.36,32.48,28.22643396422273,1.73,1.9040114449506211,1.4,31.3,72.4,0.9780471436633645,2.44,2.75,2.6245026485406746,0.2,0.08,0.08,-91551625.08999991,354039032.1700001
13,24.36,29.11,24.306175599847297,1.86,1.9650806305556996,1.4,27.0,72.4,0.9765442275247507,2.44,2.88,2.855847161811432,0.19,0.08,0.08,-91551625.08999991,404993891.8299999
14,24.36,28.32,20.20693730886944,1.76,1.8925347649306357,1.4,39.7,72.4,0.9741245245544534,2.44,3.08,3.002307071299921,0.11,0.08,0.08,-91551625.08999991,343817009.7
15,24.36,27.52,27.385989937672363,1.82,1.9419165204437119,1.4,51.5,72.4,0.9740640844554442,2.44,3.09,3.052230797635554,0.07,0.08,0.08,-91551625.08999991,-144235407.82000005
16,24.36,27.13,17.242512289548777,1.68,1.6192061471822412,1.4,31.9,72.4,0.9752673465346521,2.44,2.93,2.8553303557903926,0.11,0.08,0.08,-91551625.08999991,117711369.57999992
17,24.36,29.7,27.41658319390522,1.84,1.874618334476599,1.4,31.8,72.4,0.9744320149504935,2.44,3.1,3.0984520663053394,0.09,0.08,0.08,-91551625.08999991,15341073.339999914
18,24.36,28.91,32.00508080859595,1.71,1.7098854994235468,1.4,40.0,72.4,0.9736406488118795,2.44,3.13,2.9826421243450274,0.19,0.08,0.08,-91551625.08999991,-293100266.06000006
19,24.36,30.89,25.67409808765944,1.64,1.9613510678043005,1.4,27.0,72.4,0.9749202673267312,2.44,3.01,3.356750760851874,0.18,0.08,0.08,-91551625.08999991,5160763.129999876
