,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,meanDealerSharpeRatio,meanDealerSharpeRatioNoNeg,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,12.48,15.927110585989565,2.07,2.0950408757589862,1.4,34.4,72.4,0.9361325841584156,2.44,6.64,4.453961896589726,0.05,0.08,0.08,-91551625.08999991,-388675960.5199999
1,24.36,12.28,6.473092343207678,1.79,1.6292398462432978,1.4,5.0,72.4,0.9388790891089105,2.44,6.33,4.425281494560881,0.13,0.08,0.08,-91551625.08999991,110947389.29999998
2,24.36,11.49,11.826654200528584,2.26,2.065048015322854,1.4,8.7,72.4,0.9353384752475244,2.44,6.72,4.441254311286405,0.12,0.08,0.08,-91551625.08999991,233378334.11
3,24.36,11.09,16.24197800613385,1.83,1.5063158932152538,1.4,32.4,72.4,0.9348343760396034,2.44,6.72,4.453756552269157,0.06,0.08,0.08,-91551625.08999991,-97037443.76000005
4,24.36,11.88,14.858547716631984,2.01,2.054658663190074,1.4,21.5,72.4,0.9352009306930689,2.44,6.72,4.461924465007665,0.1,0.08,0.08,-91551625.08999991,106269372.53999996
5,24.36,11.88,12.669359931692862,1.93,1.7086666341527341,1.4,39.1,72.4,0.9377499306930689,2.44,6.45,4.397966690699755,0.05,0.08,0.08,-91551625.08999991,-137601373.20999998
6,24.36,12.87,13.766487539681238,1.97,1.7965209413040708,1.4,43.2,72.4,0.9368179700990092,2.44,6.57,4.562099176190997,0.07,0.08,0.08,-91551625.08999991,-4788614.659999967
7,24.36,12.48,13.4222740150874,1.84,1.6575730755782627,1.4,15.4,72.4,0.9381815445544551,2.44,6.41,4.588223836025199,0.1,0.08,0.08,-91551625.08999991,-179577262.16000003
8,24.36,15.64,12.341100050098463,1.83,2.074087784960243,1.4,13.1,72.4,0.9351747324752475,2.44,6.77,4.500094320718524,0.13,0.08,0.08,-91551625.08999991,122991158.09000003
9,24.36,12.28,8.127712755212556,1.99,1.9013854582305547,1.4,21.3,72.4,0.9349075443564352,2.44,6.75,4.455727743995917,0.06,0.08,0.08,-91551625.08999991,-51908139.29999995
10,24.36,11.68,13.752848163413967,2.1,2.3778990531398274,1.4,21.0,72.4,0.9367550495049501,2.44,6.57,4.560777098288857,0.11,0.08,0.08,-91551625.08999991,-321407761.46999997
11,24.36,12.48,13.277039681655223,1.78,1.8216690715102672,1.4,19.1,72.4,0.935609643564356,2.44,6.66,4.590383440970848,0.07,0.08,0.08,-91551625.08999991,224042090.40999997
12,24.36,12.48,12.921457521275078,1.93,1.7044884649611574,1.4,7.3,72.4,0.9375889306930689,2.44,6.48,4.394715415388436,0.1,0.08,0.08,-91551625.08999991,-68504140.93999994
13,24.36,13.47,8.84758845703936,1.67,2.3057229086532005,1.4,11.1,72.4,0.9373005940594054,2.44,6.49,4.625487331458242,0.12,0.08,0.08,-91551625.08999991,138288601.71000004
14,24.36,11.68,5.015501475047223,1.94,2.121381282654112,1.4,5.9,72.4,0.9373956039603958,2.44,6.49,4.599586005231717,0.18,0.08,0.08,-91551625.08999991,261923629.43
15,24.36,12.28,9.912367326461402,1.92,1.9638277995870062,1.4,9.6,72.4,0.9386069799999996,2.44,6.37,4.496838705083297,0.11,0.08,0.08,-91551625.08999991,181747064.29
16,24.36,12.67,11.067339923205989,2.17,2.1695243574340575,1.4,12.5,72.4,0.9363397029702967,2.44,6.64,4.352496679720903,0.08,0.08,0.08,-91551625.08999991,126606605.49999994
17,24.36,12.08,8.248391569252949,2.01,2.1318120023420635,1.4,9.3,72.4,0.9383155544554452,2.44,6.41,4.350847845632111,0.12,0.08,0.08,-91551625.08999991,192896290.93999994
18,24.36,13.27,27.4441882053736,1.8,1.9462971105191609,1.4,37.0,72.4,0.9393881240594055,2.44,6.3,4.335932520534092,0.07,0.08,0.08,-91551625.08999991,-713821521.5800002
19,24.36,12.67,9.329193941162668,1.77,1.7063351340941124,1.4,11.3,72.4,0.9360551188118806,2.44,6.62,4.351591576240039,0.11,0.08,0.08,-91551625.08999991,343677943.3
