,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,meanDealerSharpeRatio,meanDealerSharpeRatioNoNeg,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,43.17,41.30352032613641,1.47,1.8150861598316124,1.4,49.2,72.4,0.9905572572277205,2.44,1.58,1.8235169404517741,0.28,0.08,0.08,-91551625.08999991,-13467146.779999971
1,24.36,33.86,48.68088322164845,1.52,1.8796457953001464,1.4,27.8,72.4,0.9868198268316807,2.44,1.83,1.879877051383223,0.24,0.08,0.08,-91551625.08999991,-1540884368.0399997
2,24.36,31.68,34.019099640655696,1.58,1.861219659329226,1.4,47.2,72.4,0.9868522228712839,2.44,1.81,1.852880917807509,0.14,0.08,0.08,-91551625.08999991,-541708647.27
3,24.36,27.33,24.903715226069746,1.58,1.7537995920976417,1.4,52.5,72.4,0.9842624552475208,2.44,2.0,1.9395451868847957,0.16,0.08,0.08,-91551625.08999991,50655201.05000007
4,24.36,33.47,36.270227255665496,1.52,1.835577726493838,1.4,43.2,72.4,0.9876695496039577,2.44,1.74,1.8450945239817589,0.25,0.08,0.08,-91551625.08999991,-407981442.47
5,24.36,32.48,28.001154784792764,1.55,1.828975235183921,1.4,50.8,72.4,0.988031158217819,2.44,1.7,1.800784971406634,0.16,0.08,0.08,-91551625.08999991,-474989768.39999986
6,24.36,42.38,46.010902151164224,1.57,1.8784660686797432,1.4,49.5,72.4,0.9894380545544527,2.44,1.72,1.9092977061395808,0.25,0.08,0.08,-91551625.08999991,-593365915.72
7,24.36,27.92,34.96368125336377,1.43,1.7209519521324328,1.4,45.8,72.4,0.9836294901980176,2.44,2.04,2.061719242224361,0.15,0.08,0.08,-91551625.08999991,-907899961.9900001
8,24.36,38.81,35.1414580588206,1.56,1.8004973049370039,1.4,60.2,72.4,0.9897152176237599,2.44,1.63,1.803678248511819,0.18,0.08,0.08,-91551625.08999991,-102540928.39999986
9,24.36,41.58,36.85385687696041,1.6,1.8193344827161746,1.4,54.7,72.4,0.9898825938613856,2.44,1.67,1.8159636424637347,0.25,0.08,0.08,-91551625.08999991,24465804.149999857
10,24.36,33.86,47.03411851006739,1.54,1.760067201038052,1.4,48.6,72.4,0.9865225000990064,2.44,1.87,1.9258050489131646,0.16,0.08,0.08,-91551625.08999991,-1140906526.64
11,24.36,33.07,29.509918636108363,1.58,1.838062796978951,1.4,51.3,72.4,0.9866214109900979,2.44,1.86,1.8466539362784713,0.16,0.08,0.08,-91551625.08999991,-121339431.54000008
12,24.36,34.65,41.62441073682868,1.44,1.726638965833482,1.4,61.1,72.4,0.9880462822772248,2.44,1.69,1.8322445486684127,0.19,0.08,0.08,-91551625.08999991,-674791262.8799999
13,24.36,49.11,60.36924904750707,1.54,1.7906573422085525,1.4,44.1,72.4,0.9920908169306907,2.44,1.55,1.8210548715692962,0.26,0.08,0.08,-91551625.08999991,-746227451.3499994
14,24.36,33.27,42.41899246876735,1.5,1.8148456573178378,1.4,48.9,72.4,0.9876839951485131,2.44,1.73,1.8512810770831694,0.16,0.08,0.08,-91551625.08999991,-1033457052.03
15,24.36,37.82,45.77619878161299,1.58,1.8257059173066117,1.4,46.7,72.4,0.9891741238613835,2.44,1.68,1.7922570473151112,0.18,0.08,0.08,-91551625.08999991,-989622704.0700002
16,24.36,40.0,50.12041851425661,1.52,1.7911222721658602,1.4,65.2,72.4,0.9897161139603937,2.44,1.63,1.7986375657939333,0.2,0.08,0.08,-91551625.08999991,-1018139624.3699999
17,24.36,36.83,35.80672952485111,1.61,1.7798028105053418,1.4,54.7,72.4,0.9891277819801952,2.44,1.68,1.8632930137193002,0.18,0.08,0.08,-91551625.08999991,-336936922.75
18,24.36,31.09,38.118450354980375,1.54,1.8380022104016174,1.4,51.2,72.4,0.9861958763366319,2.44,1.86,1.8812061970617355,0.16,0.08,0.08,-91551625.08999991,-747876109.45
19,24.36,34.65,45.176657529156834,1.55,1.7686975950751578,1.4,53.4,72.4,0.9880424406930671,2.44,1.73,1.872501527227641,0.17,0.08,0.08,-91551625.08999991,-1044718635.5500002
