,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,meanDealerSharpeRatio,meanDealerSharpeRatioNoNeg,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,44.95,46.100778134267614,1.56,1.7317711761623171,1.4,48.4,72.4,0.9909530545544534,2.44,1.6,1.7950249861131882,0.25,0.08,0.08,-91551625.08999991,-344909641.13999987
1,24.36,40.0,43.930106106028624,1.51,1.7776838449476913,1.4,53.0,72.4,0.9896193812871258,2.44,1.64,1.828871422808297,0.28,0.08,0.08,-91551625.08999991,-356338161.79999995
2,24.36,40.79,41.01158407022054,1.49,1.7922990952076434,1.4,49.3,72.4,0.9899716882178208,2.44,1.61,1.8204941882247108,0.17,0.08,0.08,-91551625.08999991,-783472781.9500002
3,24.36,45.94,45.31156652041882,1.72,1.8754218927599475,1.4,50.0,72.4,0.9915803218811865,2.44,1.63,1.8553738470714665,0.25,0.08,0.08,-91551625.08999991,-289960635.6200001
4,24.36,38.61,39.378681653054564,1.53,1.8113410067793232,1.4,55.2,72.4,0.9896852426732661,2.44,1.62,1.8066381512424352,0.17,0.08,0.08,-91551625.08999991,-596274788.6000001
5,24.36,40.4,44.955317932291436,1.51,1.8661132594029863,1.4,54.8,72.4,0.9893734802970278,2.44,1.67,1.847440581491919,0.28,0.08,0.08,-91551625.08999991,-418280690.70000005
6,24.36,40.2,45.746249196036025,1.45,1.8078237278637697,1.4,60.7,72.4,0.9891391040594048,2.44,1.67,1.8886081109280608,0.27,0.08,0.08,-91551625.08999991,-249500902.72000003
7,24.36,51.29,51.380440150976845,1.57,1.721853911989188,1.4,47.5,72.4,0.9920132030693053,2.44,1.6,1.804812163699245,0.25,0.08,0.08,-91551625.08999991,-152762002.1300001
8,24.36,39.8,47.747959937128165,1.52,1.7964141297185168,1.4,54.3,72.4,0.9899816288118791,2.44,1.6,1.8066335911602747,0.29,0.08,0.08,-91551625.08999991,-1107597609.13
9,24.36,38.81,46.93228233998958,1.37,1.694415518418595,1.4,53.0,72.4,0.988713965445542,2.44,1.66,1.7842920864686491,0.2,0.08,0.08,-91551625.08999991,-885338113.9500003
10,24.36,33.66,30.10138564667001,1.51,1.867136121023133,1.4,55.0,72.4,0.9874182129702955,2.44,1.76,1.8687089467307845,0.17,0.08,0.08,-91551625.08999991,-215691943.76
11,24.36,44.75,45.44717808446314,1.52,1.77047537222095,1.4,57.5,72.4,0.9910827179207907,2.44,1.57,1.823393352721582,0.28,0.08,0.08,-91551625.08999991,-270092466.1200001
12,24.36,45.94,59.090157928125166,1.5,1.766954942172783,1.4,41.3,72.4,0.9909179357425728,2.44,1.6,1.8158746518297617,0.14,0.08,0.08,-91551625.08999991,-1002617576.75
13,24.36,41.78,42.52985833307377,1.5,1.8051637418535451,1.4,58.7,72.4,0.9902855595049496,2.44,1.59,1.8321066984406849,0.18,0.08,0.08,-91551625.08999991,-629796503.9499999
14,24.36,47.33,47.68151809845194,1.5,1.7517474872885785,1.4,59.6,72.4,0.9915229159405928,2.44,1.55,1.8098021819813015,0.18,0.08,0.08,-91551625.08999991,-719178867.6300001
15,24.36,42.38,49.51172281018111,1.58,1.8074778990623386,1.4,48.0,72.4,0.990861480297028,2.44,1.58,1.7931992482223535,0.27,0.08,0.08,-91551625.08999991,-451597019.78999996
16,24.36,43.76,46.28427184115756,1.61,1.8006975009070627,1.4,55.5,72.4,0.9908539852475216,2.44,1.61,1.8027471469433145,0.26,0.08,0.08,-91551625.08999991,-97193053.16999984
17,24.36,39.8,42.35553578586045,1.57,1.800936050902233,1.4,64.2,72.4,0.9896935595049478,2.44,1.65,1.862909278825843,0.19,0.08,0.08,-91551625.08999991,-405931639.93000007
18,24.36,45.94,47.36075268958748,1.57,1.7930876637184876,1.4,50.6,72.4,0.9916886783168302,2.44,1.55,1.8448736123328324,0.27,0.08,0.08,-91551625.08999991,-362648162.5999999
19,24.36,32.48,38.17753481988246,1.55,1.8355927006213173,1.4,58.5,72.4,0.9873410941584131,2.44,1.77,1.846801058439223,0.25,0.08,0.08,-91551625.08999991,-464418669.63
