,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,meanDealerSharpeRatio,meanDealerSharpeRatioNoNeg,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,34.46,36.79991139170704,1.48,1.6675684665007473,1.4,58.9,72.4,0.9839645298019769,2.44,2.11,2.025199604520466,0.12,0.08,0.08,-91551625.08999991,-795683136.8200002
1,24.36,42.57,41.901373932560496,1.57,1.8127862195091056,1.4,54.0,72.4,0.9909031337623759,2.44,1.58,1.8172590547760894,0.26,0.08,0.08,-91551625.08999991,-613312065.77
2,24.36,51.68,47.80688172524199,1.6,1.707411343486933,1.4,41.4,72.4,0.9920833119801968,2.44,1.62,1.8605970874078286,0.26,0.08,0.08,-91551625.08999991,-326696159.9000001
3,24.36,47.52,45.547972951049985,1.65,1.772900676367424,1.4,54.7,72.4,0.991149821584156,2.44,1.67,1.8224068908872917,0.22,0.08,0.08,-91551625.08999991,434670273.03
4,24.36,45.74,50.29031323512822,1.62,1.7874172774259771,1.4,43.3,72.4,0.9914441238613829,2.44,1.59,1.858737370882816,0.27,0.08,0.08,-91551625.08999991,-561854674.3199999
5,24.36,44.16,41.51746979309318,1.65,1.79573086658639,1.4,59.6,72.4,0.9915170196039577,2.44,1.57,1.820536607708271,0.23,0.08,0.08,-91551625.08999991,22187131.049999952
6,24.36,47.52,43.86723322471454,1.61,1.782922028693204,1.4,49.7,72.4,0.9920846189108891,2.44,1.55,1.8315601193499422,0.23,0.08,0.08,-91551625.08999991,-664519902.6800001
7,24.36,39.6,50.18389147745592,1.48,1.801328909437458,1.4,49.9,72.4,0.9884676486138607,2.44,1.74,1.9032667620872732,0.19,0.08,0.08,-91551625.08999991,-1448859027.78
8,24.36,51.29,51.89582022681167,1.57,1.7345488523884547,1.4,37.5,72.4,0.9920430248514838,2.44,1.59,1.8158254958571762,0.22,0.08,0.08,-91551625.08999991,-798491887.8700001
9,24.36,44.95,46.03576559858977,1.53,1.7704165528252787,1.4,50.2,72.4,0.990335935742572,2.44,1.65,1.8668498343849256,0.26,0.08,0.08,-91551625.08999991,-389029934.9899998
10,24.36,46.34,43.03026464330422,1.62,1.766180504334616,1.4,44.8,72.4,0.9909791681188093,2.44,1.65,1.8324754289181362,0.25,0.08,0.08,-91551625.08999991,112073859.95000029
11,24.36,46.34,60.20604341290367,1.55,1.760344085155212,1.4,53.6,72.4,0.9912215397029682,2.44,1.59,1.8175545080202464,0.22,0.08,0.08,-91551625.08999991,-881447413.7999997
12,24.36,34.26,39.75549523998721,1.6,1.9226333147297876,1.4,54.6,72.4,0.9842300842574242,2.44,2.12,2.2122058594727165,0.21,0.08,0.08,-91551625.08999991,-622158119.64
13,24.36,35.45,41.47645111870593,1.54,1.8842307877973752,1.4,53.6,72.4,0.9871687278217804,2.44,1.83,1.9968750058768292,0.25,0.08,0.08,-91551625.08999991,-994393479.95
14,24.36,40.59,43.36432535035301,1.52,1.8127153339538873,1.4,54.0,72.4,0.9897573119801956,2.44,1.64,1.8377928425586874,0.26,0.08,0.08,-91551625.08999991,-526874582.19000006
15,24.36,40.2,42.214768724645694,1.58,1.8146317704098338,1.4,55.1,72.4,0.9903225991089081,2.44,1.6,1.8147202199173602,0.26,0.08,0.08,-91551625.08999991,-323915176.6700001
16,24.36,40.59,40.6459272020048,1.55,1.8276812592955418,1.4,52.1,72.4,0.9900200842574247,2.44,1.62,1.8318178469770612,0.25,0.08,0.08,-91551625.08999991,-636117042.3299999
17,24.36,47.72,49.65725851853986,1.52,1.7806511513935661,1.4,55.5,72.4,0.9916329258415819,2.44,1.56,1.809972316297203,0.23,0.08,0.08,-91551625.08999991,-451321637.9399998
18,24.36,44.95,51.30034143715946,1.53,1.801615918532675,1.4,59.4,72.4,0.9912210347524741,2.44,1.56,1.826025565323593,0.27,0.08,0.08,-91551625.08999991,-611195175.6800001
19,24.36,46.53,52.37849821509452,1.52,1.7744165411872534,1.4,52.8,72.4,0.9915667080198005,2.44,1.55,1.821905322747215,0.26,0.08,0.08,-91551625.08999991,-592603256.3899999
