,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,meanDealerSharpeRatio,meanDealerSharpeRatioNoNeg,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,32.67,44.30842227302288,1.58,1.8558973280711117,1.4,38.9,72.4,0.9871722129702946,2.44,1.8,1.7848261575738138,0.25,0.08,0.08,-91551625.08999991,-1073550015.1400002
1,24.36,39.8,37.98354135917435,1.51,1.8257031848049994,1.4,54.3,72.4,0.9894798710891066,2.44,1.65,1.8164416097727207,0.17,0.08,0.08,-91551625.08999991,-450656938.75000024
2,24.36,36.44,35.573483920018106,1.58,1.81770493390014,1.4,38.6,72.4,0.988009791881185,2.44,1.77,1.9496158691425094,0.26,0.08,0.08,-91551625.08999991,-323562682.15999997
3,24.36,38.61,48.74544366516525,1.48,1.7508474329041048,1.4,64.9,72.4,0.9891575000990074,2.44,1.65,1.7780338950547834,0.2,0.08,0.08,-91551625.08999991,-1100834666.08
4,24.36,28.91,38.518401364492625,1.52,1.8128551961315482,1.4,55.8,72.4,0.9860829852475222,2.44,1.83,1.8586580156952728,0.18,0.08,0.08,-91551625.08999991,-687984510.9100003
5,24.36,35.45,44.44208565480549,1.52,1.8094954795508993,1.4,63.6,72.4,0.9884859258415812,2.44,1.69,1.798130182161734,0.19,0.08,0.08,-91551625.08999991,-954057982.8200002
6,24.36,44.16,52.620514521954,1.51,1.8189947175351722,1.4,40.8,72.4,0.991026163465344,2.44,1.56,1.8315788416252095,0.32,0.08,0.08,-91551625.08999991,-990206887.2999997
7,24.36,32.67,44.29681929102892,1.37,1.7971174628192563,1.4,68.0,72.4,0.9858013317821754,2.44,1.87,1.9387167834046397,0.16,0.08,0.08,-91551625.08999991,-1082245773.73
8,24.36,28.12,30.672705978785586,1.39,1.7620096876174913,1.4,57.3,72.4,0.9853932574257399,2.44,1.85,1.8626536130909994,0.17,0.08,0.08,-91551625.08999991,-617405085.8899999
9,24.36,35.84,33.79287891642086,1.58,1.8321791791607114,1.4,54.0,72.4,0.9886379106930676,2.44,1.7,1.8307334262830641,0.2,0.08,0.08,-91551625.08999991,-112072187.2900002
10,24.36,34.46,32.31455514641425,1.57,1.8754972916966337,1.4,46.5,72.4,0.9877917920792066,2.44,1.76,1.8689138634442202,0.22,0.08,0.08,-91551625.08999991,-528608096.6700001
11,24.36,38.02,32.853097202136375,1.56,1.819353774822009,1.4,44.9,72.4,0.9889643911881165,2.44,1.69,1.8159076938893293,0.18,0.08,0.08,-91551625.08999991,-223574392.27999973
12,24.36,30.69,45.8946246929677,1.54,1.7919333458830025,1.4,31.4,72.4,0.9863862426732635,2.44,1.83,1.8505150373866557,0.26,0.08,0.08,-91551625.08999991,-1316382428.4199998
13,24.36,42.57,43.62523077054262,1.59,1.8593381237388116,1.4,44.3,72.4,0.9906652129702951,2.44,1.61,1.8311112269103949,0.29,0.08,0.08,-91551625.08999991,35058229.59000015
14,24.36,37.82,46.76342869008036,1.49,1.7657074830065536,1.4,47.8,72.4,0.9891717476237601,2.44,1.65,1.8129279566379441,0.15,0.08,0.08,-91551625.08999991,-1329150359.5999997
15,24.36,41.39,45.75791067135109,1.46,1.7894825084602488,1.4,50.2,72.4,0.9898212129702956,2.44,1.62,1.8012753507400348,0.16,0.08,0.08,-91551625.08999991,-860406935.7600002
16,24.36,34.06,32.47635905349804,1.54,1.8449549175383335,1.4,51.5,72.4,0.987439123861384,2.44,1.78,1.8737587498967805,0.16,0.08,0.08,-91551625.08999991,-219306516.30000007
17,24.36,37.43,48.130608143880465,1.52,1.7560766745715062,1.4,55.6,72.4,0.98896965851485,2.44,1.67,1.7914039526069532,0.18,0.08,0.08,-91551625.08999991,-1054129534.7100002
18,24.36,27.92,27.962348998742613,1.61,1.8831229263477203,1.4,41.7,72.4,0.985522123861382,2.44,1.89,1.810703691578595,0.16,0.08,0.08,-91551625.08999991,-531251120.0700002
19,24.36,34.46,34.79777166512153,1.54,1.8166527059866484,1.4,57.1,72.4,0.988314970099007,2.44,1.7,1.837203366623459,0.17,0.08,0.08,-91551625.08999991,-489542953.2499999
