,State,State_index,Action,Reward,Next_State
0,"[0, 3, 3, 0, 0, 0, 0, 0]",7680,177,0.0,24102
1,"[2, 3, 3, 0, 1, 1, 1, 0]",24102,48,0.0,6186
2,"[0, 3, 0, 0, 1, 2, 1, 0]",6186,78,0.0,9319
3,"[1, 0, 2, 0, 3, 1, 1, 1]",9319,48,0.0,6702
4,"[0, 3, 1, 0, 1, 3, 1, 0]",6702,61,0.0,28753
5,"[3, 2, 0, 0, 2, 4, 0, 1]",28753,42,0.0,17930
6,"[2, 0, 3, 0, 0, 2, 1, 0]",17930,65,0.0,9746
7,"[1, 0, 3, 0, 0, 4, 1, 0]",9746,145,0.0,2679
8,"[0, 1, 1, 0, 3, 5, 1, 1]",2679,45,0.015999999999991132,26266
9,"[3, 0, 3, 1, 0, 6, 1, 0]",26266,60,0.0,3594
10,"[0, 1, 3, 0, 0, 2, 1, 0]",3594,48,0.018000000000000682,13832
11,"[1, 2, 3, 0, 0, 2, 0, 0]",13832,78,0.0,573
13,"[0, 0, 1, 0, 1, 7, 0, 1]",573,37,0.0,5207
14,"[0, 2, 2, 0, 2, 5, 1, 1]",5207,51,0.0,2125
15,"[0, 1, 0, 0, 2, 3, 0, 1]",2125,63,0.0,31271
16,"[3, 3, 1, 0, 1, 1, 1, 1]",31271,48,0.0,4723
17,"[0, 2, 1, 0, 3, 4, 1, 1]",4723,88,0.058000000000006935,15882
19,"[1, 3, 3, 0, 0, 2, 1, 0]",15882,34,0.0,31270
20,"[3, 3, 1, 0, 1, 1, 1, 0]",31270,40,0.0,17930
21,"[2, 0, 3, 0, 0, 2, 1, 0]",17930,82,0.05200000000000671,8278
22,"[1, 0, 0, 0, 2, 5, 1, 0]",8278,30,0.0,19968
23,"[2, 1, 3, 0, 0, 0, 0, 0]",19968,45,0.0,6237
24,"[0, 3, 0, 0, 2, 7, 0, 1]",6237,19,0.0,9728
25,"[1, 0, 3, 0, 0, 0, 0, 0]",9728,106,0.0,6184
26,"[0, 3, 0, 0, 1, 2, 0, 0]",6184,25,-0.0040000000000048885,29223
27,"[3, 2, 1, 0, 1, 1, 1, 1]",29223,48,0.0,4655
28,"[0, 2, 1, 0, 1, 3, 1, 1]",4655,167,0.0,5180
29,"[0, 2, 2, 0, 1, 7, 0, 0]",5180,54,0.0,18171
30,"[2, 0, 3, 1, 3, 6, 1, 1]",18171,28,0.0,14890
31,"[1, 3, 1, 0, 1, 2, 1, 0]",14890,34,0.0,6237
32,"[0, 3, 0, 0, 2, 7, 0, 1]",6237,50,0.0,18472
33,"[2, 1, 0, 0, 1, 2, 0, 0]",18472,43,0.0,113
34,"[0, 0, 0, 0, 3, 4, 0, 1]",113,150,0.0,32262
35,"[3, 3, 3, 0, 0, 1, 1, 0]",32262,37,0.007999999999995566,18171
36,"[2, 0, 3, 1, 3, 6, 1, 1]",18171,27,0.0,7696
38,"[0, 3, 3, 0, 0, 4, 0, 0]",7696,85,0.0,29714
39,"[3, 2, 2, 0, 0, 4, 1, 0]",29714,66,0.0,14409
40,"[1, 3, 0, 0, 2, 2, 0, 1]",14409,40,0.01099999999999568,22257
42,"[2, 2, 3, 1, 3, 4, 0, 1]",22257,17,0.0,15370
43,"[1, 3, 2, 0, 0, 2, 1, 0]",15370,36,0.0,4215
44,"[0, 2, 0, 0, 3, 5, 1, 1]",4215,51,0.0,13547
45,"[1, 2, 2, 1, 3, 2, 1, 1]",13547,76,0.0,2096
46,"[0, 1, 0, 0, 1, 4, 0, 0]",2096,11,-0.018999999999991246,3584
47,"[0, 1, 3, 0, 0, 0, 0, 0]",3584,109,0.0,23560
49,"[2, 3, 2, 0, 0, 2, 0, 0]",23560,70,0.0,18058
50,"[2, 0, 3, 1, 0, 2, 1, 0]",18058,118,0.0,13322
51,"[1, 2, 2, 0, 0, 2, 1, 0]",13322,43,0.0,15400
52,"[1, 3, 2, 0, 1, 2, 0, 0]",15400,67,0.0,23082
53,"[2, 3, 1, 0, 1, 2, 1, 0]",23082,60,0.0,20199
54,"[2, 1, 3, 1, 3, 1, 1, 1]",20199,77,0.047000000000011255,6717
55,"[0, 3, 1, 0, 1, 7, 0, 1]",6717,77,0.0,10315
56,"[1, 1, 0, 0, 2, 2, 1, 1]",10315,51,0.0,26363
57,"[3, 0, 3, 1, 3, 6, 1, 1]",26363,79,0.0,12369
