,State,Action,Reward,Reward_Terms,Next_State
0,"[0.07817831851869157, 0.09435358859403487, 0.024998049996099992, 0.25, 0.675459520134699, 0.0, 1.0, 1.0, 0.0]",21,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 12500000.0, -0.1057628454003337, -1.0, 1410688.0861845, 5186551.90524477, 6631443.416368009)","[0.8287576370343082, 0.13092427811736734, 0.011998023996047992, 0.625, 0.675459520134699, 1.0, 0.0, 0.0, 1.0]"
1,"[0.8287576370343082, 0.13092427811736734, 0.011998023996047992, 0.625, 0.675459520134699, 1.0, 0.0, 0.0, 1.0]",69,0.19750212080063864,"(674622.160635952, 2194227.8587135216, 6000000.0, -0.1057628454003337, 1.0, 15192233.3928065, 5186551.90524477, 6631443.416368009)","[0.07802312028660757, 0.32280853022654393, 0.000998001996003992, 0.0, 0.6445909920022449, 0.0, 1.0, 1.0, 0.0]"
2,"[0.07802312028660757, 0.32280853022654393, 0.000998001996003992, 0.0, 0.6445909920022449, 0.0, 1.0, 1.0, 0.0]",134,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 500000.0, -0.1057628454003337, -1.0, 1407838.4586845, 5186551.90524477, 6631443.416368009)","[0.07945592337742066, 0.3611110032351104, 0.000614001228002456, 0.0, 0.7091342780973762, 0.0, 1.0, 1.0, 0.0]"
3,"[0.07945592337742066, 0.3611110032351104, 0.000614001228002456, 0.0, 0.7091342780973762, 0.0, 1.0, 1.0, 0.0]",110,0.23757319918484154,"(674622.160635952, 2194227.8587135216, 308000.0, -0.1057628454003337, -1.0, 1434146.4586844998, 5186551.90524477, 6631443.416368009)","[0.8346861985986755, 0.0720345266725047, 0.000998001996003992, 0.25, 0.7196576399607129, 1.0, 0.0, 0.0, 1.0]"
4,"[0.8346861985986755, 0.0720345266725047, 0.000998001996003992, 0.25, 0.7196576399607129, 1.0, 0.0, 0.0, 1.0]",95,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 500000.0, -0.1057628454003337, 1.0, 15301088.9631465, 5186551.90524477, 6631443.416368009)","[0.07945592337742066, 0.09443804771894099, 0.003998007996015992, 0.5, 0.7049249333520414, 0.0, 1.0, 0.0, 1.0]"
5,"[0.07945592337742066, 0.09443804771894099, 0.003998007996015992, 0.5, 0.7049249333520414, 0.0, 1.0, 0.0, 1.0]",72,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 2000000.0, -0.1057628454003337, 1.0, 1434146.4586844998, 5186551.90524477, 6631443.416368009)","[0.8347624462924241, 0.013606001019185512, 0.009998019996039992, 0.125, 0.70352181843693, 1.0, 0.0, 1.0, 0.0]"
6,"[0.8347624462924241, 0.013606001019185512, 0.009998019996039992, 0.125, 0.70352181843693, 1.0, 0.0, 1.0, 0.0]",25,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 5000000.0, -0.1057628454003337, -1.0, 15302488.9631465, 5186551.90524477, 6631443.416368009)","[0.07943491038442578, 0.3241850599168173, 0.002098004196008392, 0.0, 0.672653290304476, 0.0, 1.0, 1.0, 0.0]"
7,"[0.07943491038442578, 0.3241850599168173, 0.002098004196008392, 0.0, 0.672653290304476, 0.0, 1.0, 1.0, 0.0]",22,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 1050000.0, -0.1057628454003337, -1.0, 1433760.6346845, 5186551.90524477, 6631443.416368009)","[0.8715900307418754, 0.0014165186486548252, 0.049998099996199995, 0.25, 0.6871521444272952, 1.0, 0.0, 1.0, 0.0]"
8,"[0.8715900307418754, 0.0014165186486548252, 0.049998099996199995, 0.25, 0.6871521444272952, 1.0, 0.0, 1.0, 0.0]",12,0.15768356846436227,"(674622.160635952, 2194227.8587135216, 25000000.0, -0.1057628454003337, -1.0, 15978688.0151365, 5186551.90524477, 6631443.416368009)","[0.8605582917125985, 0.048833341270695704, 9.8000196000392e-05, 0.25, 0.7110050979841914, 1.0, 0.0, 0.0, 1.0]"
9,"[0.8605582917125985, 0.048833341270695704, 9.8000196000392e-05, 0.25, 0.7110050979841914, 1.0, 0.0, 0.0, 1.0]",130,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 50000.0, -0.1057628454003337, 1.0, 15776131.9261365, 5186551.90524477, 6631443.416368009)","[0.8496657640342261, 0.048833341270695704, 0.000398000796001592, 0.25, 0.7110050979841914, 1.0, 0.0, 0.0, 1.0]"
10,"[0.8496657640342261, 0.048833341270695704, 0.000398000796001592, 0.25, 0.7110050979841914, 1.0, 0.0, 0.0, 1.0]",102,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 200000.0, -0.1057628454003337, 1.0, 15576131.9261365, 5186551.90524477, 6631443.416368009)","[0.08286474222194927, 0.3424450983895056, 0.009398018796037593, 0.0, 0.6852813245404799, 0.0, 1.0, 1.0, 0.0]"
