,State,State_index,Action,Reward,Next_State
0,"[0, 1, 1, 0, 0]",20,21,0.3721125766259296,231
1,"[3, 2, 1, 1, 1]",231,69,0.19750212080063864,48
2,"[0, 3, 0, 0, 0]",48,134,0.3721125766259296,124
3,"[1, 3, 3, 0, 0]",124,110,0.23757319918484154,223
4,"[3, 1, 3, 1, 1]",223,95,0.25715076500769896,94
5,"[1, 1, 3, 1, 0]",94,72,0.3721125766259296,205
6,"[3, 0, 3, 0, 1]",205,25,0.25715076500769896,116
7,"[1, 3, 1, 0, 0]",116,22,0.3721125766259296,201
8,"[3, 0, 2, 0, 1]",201,12,0.15768356846436227,207
9,"[3, 0, 3, 1, 1]",207,130,0.25715076500769896,207
10,"[3, 0, 3, 1, 1]",207,102,0.25715076500769896,120
11,"[1, 3, 2, 0, 0]",120,141,0.3721125766259296,197
12,"[3, 0, 1, 0, 1]",197,23,0.31192806593536354,223
13,"[3, 1, 3, 1, 1]",223,45,0.11660758815961628,207
14,"[3, 0, 3, 1, 1]",207,47,0.25715076500769896,207
15,"[3, 0, 3, 1, 1]",207,52,0.25715076500769896,62
16,"[0, 3, 3, 1, 0]",62,38,0.7865142765482703,62
17,"[0, 3, 3, 1, 0]",62,116,0.3721125766259296,60
18,"[0, 3, 3, 0, 0]",60,136,0.3721125766259296,30
19,"[0, 1, 3, 1, 0]",30,101,0.3721125766259296,30
20,"[0, 1, 3, 1, 0]",30,106,0.3721125766259296,207
21,"[3, 0, 3, 1, 1]",207,142,0.25715076500769896,30
22,"[0, 1, 3, 1, 0]",30,105,0.3721125766259296,205
23,"[3, 0, 3, 0, 1]",205,35,0.25715076500769896,195
24,"[3, 0, 0, 1, 1]",195,105,0.25715076500769896,30
25,"[0, 1, 3, 1, 0]",30,65,0.3721125766259296,102
26,"[1, 2, 1, 1, 0]",102,46,0.3721125766259296,205
27,"[3, 0, 3, 0, 1]",205,39,0.25715076500769896,62
28,"[0, 3, 3, 1, 0]",62,39,0.28941108632945506,58
29,"[0, 3, 2, 1, 0]",58,50,0.3721125766259296,60
30,"[0, 3, 3, 0, 0]",60,11,0.3721125766259296,32
31,"[0, 2, 0, 0, 0]",32,39,0.3721125766259296,28
32,"[0, 1, 3, 0, 0]",28,11,0.3721125766259296,207
33,"[3, 0, 3, 1, 1]",207,26,0.15977928174524272,197
34,"[3, 0, 1, 0, 1]",197,23,0.16384261445511578,197
35,"[3, 0, 1, 0, 1]",197,35,0.25715076500769896,193
36,"[3, 0, 0, 0, 1]",193,12,0.117389418510501,60
37,"[0, 3, 3, 0, 0]",60,18,0.3721125766259296,40
38,"[0, 2, 2, 0, 0]",40,34,0.3721125766259296,201
39,"[3, 0, 2, 0, 1]",201,27,0.25715076500769896,30
40,"[0, 1, 3, 1, 0]",30,133,0.3721125766259296,116
41,"[1, 3, 1, 0, 0]",116,46,1.0,98
42,"[1, 2, 0, 1, 0]",98,149,0.3721125766259296,86
43,"[1, 1, 1, 1, 0]",86,102,0.3721125766259296,201
44,"[3, 0, 2, 0, 1]",201,7,0.24151209969920903,237
45,"[3, 2, 3, 0, 1]",237,54,0.25715076500769896,193
46,"[3, 0, 0, 0, 1]",193,75,0.25715076500769896,84
47,"[1, 1, 1, 0, 0]",84,24,0.3721125766259296,197
48,"[3, 0, 1, 0, 1]",197,33,0.25715076500769896,207
49,"[3, 0, 3, 1, 1]",207,38,0.25715076500769896,217
50,"[3, 1, 2, 0, 1]",217,39,0.25715076500769896,122
51,"[1, 3, 2, 1, 0]",122,102,0.3721125766259296,98
52,"[1, 2, 0, 1, 0]",98,31,0.3721125766259296,82
53,"[1, 1, 0, 1, 0]",82,98,0.3721125766259296,82
54,"[1, 1, 0, 1, 0]",82,101,0.3721125766259296,82
55,"[1, 1, 0, 1, 0]",82,104,0.3721125766259296,209
56,"[3, 1, 0, 0, 1]",209,113,0.25715076500769896,112
57,"[1, 3, 0, 0, 0]",112,99,0.3721125766259296,126
58,"[1, 3, 3, 1, 0]",126,56,0.3721125766259296,96
59,"[1, 2, 0, 0, 0]",96,114,0.3721125766259296,207
60,"[3, 0, 3, 1, 1]",207,8,0.11660758815961424,80
61,"[1, 1, 0, 0, 0]",80,55,0.3721125766259296,98
62,"[1, 2, 0, 1, 0]",98,29,0.3721125766259296,34
63,"[0, 2, 0, 1, 0]",34,76,0.3721125766259296,32
