,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,MLSharpeRatioHitrate,meanDealerSharpeRatio,DealerSharpeRatioHitrate,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,40.79,47.04057687657125,1.61,1.7967975976874124,1.4,37.1,72.4,0.9902146090098999,2.44,1.63,1.8001362788263693,0.22,375.56,0.08,167.66,-91551625.08999991,-1048431285.8600004
1,24.36,41.78,40.41936794261098,1.6,1.8359057947984616,1.4,52.9,72.4,0.9903159502970275,2.44,1.63,1.832108771041362,0.26,434.18,0.08,167.66,-91551625.08999991,-14553846.319999933
2,24.36,45.74,48.70972936986789,1.44,1.7649404277106373,1.4,55.9,72.4,0.9903799007920776,2.44,1.62,1.8166756093860936,0.18,280.15,0.08,167.66,-91551625.08999991,-195654749.79999995
3,24.36,42.57,39.95256827091023,1.62,1.8215648165454708,1.4,53.4,72.4,0.9907208512871272,2.44,1.62,1.7973553593476748,0.25,418.42,0.08,167.66,-91551625.08999991,-90805051.21999979
4,24.36,44.75,48.23423455994402,1.51,1.7981913208369238,1.4,63.3,72.4,0.9904236288118794,2.44,1.63,1.8121992293114662,0.19,305.77,0.08,167.66,-91551625.08999991,-189515250.3499999
5,24.36,43.56,51.95514585520866,1.57,1.7946018197086553,1.4,42.0,72.4,0.990237074356433,2.44,1.66,1.8178227450589965,0.25,420.31,0.08,167.66,-91551625.08999991,-687679763.19
6,24.36,37.62,36.37911928748675,1.66,1.8738784993589848,1.4,49.4,72.4,0.9890529601980173,2.44,1.71,1.879139462430339,0.25,453.63,0.08,167.66,-91551625.08999991,-302242946.97
7,24.36,39.6,42.262568670511975,1.58,1.866217122945444,1.4,51.5,72.4,0.9891389159405914,2.44,1.71,1.866957792227026,0.26,454.53,0.08,167.66,-91551625.08999991,-302260579.02
8,24.36,43.96,45.666202551545474,1.54,1.8066876261984084,1.4,52.1,72.4,0.9908591832673246,2.44,1.59,1.8160300639238716,0.26,421.99,0.08,167.66,-91551625.08999991,-472440533.3800001
9,24.36,44.16,42.19265747631257,1.56,1.8069500226634438,1.4,52.1,72.4,0.9899031978217796,2.44,1.69,1.8799164514115996,0.28,457.95,0.08,167.66,-91551625.08999991,101270887.10000014
10,24.36,36.44,49.85669619013144,1.54,1.8356955698479525,1.4,54.9,72.4,0.9879857575247505,2.44,1.76,1.8433902751599809,0.17,301.69,0.08,167.66,-91551625.08999991,-1104012343.8
11,24.36,37.03,47.50771049819892,1.42,1.689027849701831,1.4,72.5,72.4,0.9883954703960383,2.44,1.68,1.82755696872361,0.21,368.11,0.08,167.66,-91551625.08999991,-352102093.55999994
12,24.36,39.6,39.655672531598086,1.56,1.8016610335743342,1.4,58.9,72.4,0.9900689601980185,2.44,1.61,1.8051000014551917,0.25,441.83,0.08,167.66,-91551625.08999991,-96632969.00999999
13,24.36,48.32,55.90856296447281,1.54,1.7852817514493344,1.4,46.7,72.4,0.9909310446534644,2.44,1.65,1.8417053224955675,0.32,523.62,0.08,167.66,-91551625.08999991,-666928904.8100004
14,24.36,39.6,52.803691643663896,1.54,1.732734360764763,1.4,38.2,72.4,0.9883141337623738,2.44,1.77,1.9068425719787772,0.1,158.8,0.08,167.66,-91551625.08999991,-1209938364.9700003
15,24.36,43.96,46.58913324937135,1.55,1.7925915913400807,1.4,51.7,72.4,0.990505405742573,2.44,1.63,1.8134929438372254,0.27,453.74,0.08,167.66,-91551625.08999991,109861234.46000004
16,24.36,43.17,47.18092175563443,1.61,1.8290194194481475,1.4,58.3,72.4,0.9903275793069292,2.44,1.66,1.8566979567696213,0.26,423.23,0.08,167.66,-91551625.08999991,-114197786.00999975
17,24.36,44.36,47.76975617705707,1.48,1.8325048272635949,1.4,35.2,72.4,0.9898840743564334,2.44,1.66,1.918344622387306,0.27,451.92,0.08,167.66,-91551625.08999991,-917683775.95
18,24.36,40.99,46.52096887581512,1.6,1.8282373357782575,1.4,57.8,72.4,0.9902523317821768,2.44,1.63,1.8355439869217967,0.18,288.3,0.08,167.66,-91551625.08999991,-554092448.1400001
19,24.36,40.99,44.51645227855959,1.6,1.8321732843718983,1.4,52.3,72.4,0.9897315595049488,2.44,1.68,1.8697211356881023,0.28,476.23,0.08,167.66,-91551625.08999991,-328224441.19000006
