,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,MLSharpeRatioHitrate,meanDealerSharpeRatio,DealerSharpeRatioHitrate,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,44.95,47.119603280211855,1.59,1.8436119619050002,1.4,57.6,72.4,0.9906197773267308,2.44,1.65,1.8329789704583754,0.22,347.88,0.08,167.66,-91551625.08999991,-243417860.26000023
1,24.36,47.52,57.590882211825424,1.6,1.7743278956361765,1.4,49.0,72.4,0.9909777476237615,2.44,1.66,1.8310165380058325,0.2,307.96,0.08,167.66,-91551625.08999991,-912275855.9399996
2,24.36,41.78,46.454163010170475,1.55,1.702158056267527,1.4,58.3,72.4,0.9884568070297001,2.44,1.8,1.941070463006188,0.17,266.06,0.08,167.66,-91551625.08999991,-497939767.5
3,24.36,45.74,55.370039031252496,1.61,1.7639771128402248,1.4,48.0,72.4,0.9901117773267305,2.44,1.72,1.9196237501855864,0.19,303.45,0.08,167.66,-91551625.08999991,-837839167.22
4,24.36,36.63,44.72372276045344,1.62,1.6773881113633895,1.4,54.3,72.4,0.9842841483168299,2.44,2.16,2.1201457849303513,0.11,182.05,0.08,167.66,-91551625.08999991,-640194279.54
5,24.36,39.8,42.947251491555924,1.55,1.7560668404844115,1.4,57.5,72.4,0.9878770889108893,2.44,1.82,1.9497966539176612,0.22,377.14,0.08,167.66,-91551625.08999991,152769157.74
6,24.36,40.59,33.9093116857019,1.58,1.7506644192330567,1.4,44.8,72.4,0.9883510790098983,2.44,1.8,1.919133453052908,0.2,326.52,0.08,167.66,-91551625.08999991,-6641520.259999752
7,24.36,41.39,33.24892288527078,1.57,1.79093756125691,1.4,48.4,72.4,0.9895129106930669,2.44,1.7,1.8394741425808487,0.21,339.02,0.08,167.66,-91551625.08999991,130080790.35000026
8,24.36,45.35,45.00496154978267,1.62,1.752708595744802,1.4,43.9,72.4,0.9906326486138594,2.44,1.67,1.7812190157574836,0.25,386.29,0.08,167.66,-91551625.08999991,-450067727.33000016
9,24.36,46.34,58.70037495973012,1.59,1.684257330768039,1.4,56.8,72.4,0.9889927575247499,2.44,1.84,1.9419128892665276,0.17,262.57,0.08,167.66,-91551625.08999991,-809267748.8599997
10,24.36,44.16,44.2596454615083,1.54,1.7312854168492164,1.4,52.8,72.4,0.9889046189108893,2.44,1.79,1.8832572185073309,0.2,320.75,0.08,167.66,-91551625.08999991,-586486924.9399998
11,24.36,40.79,47.40872652579266,1.59,1.8113089335380066,1.4,66.1,72.4,0.9880785000990081,2.44,1.84,2.0091776039727414,0.15,237.5,0.08,167.66,-91551625.08999991,-256739261.25
12,24.36,44.36,42.16664294243969,1.63,1.8203737978643175,1.4,52.0,72.4,0.9908102374257409,2.44,1.64,1.8432543363666898,0.26,433.98,0.08,167.66,-91551625.08999991,60610636.77000022
13,24.36,31.09,40.905415075835705,1.57,1.700505849571711,1.4,59.7,72.4,0.9829042525742544,2.44,2.2,2.109457359927872,0.13,244.02,0.08,167.66,-91551625.08999991,-1106093222.61
14,24.36,27.92,38.18423535771407,1.58,1.7660005211642547,1.4,61.7,72.4,0.9825502624752451,2.44,2.18,2.058282578195967,0.13,249.19,0.08,167.66,-91551625.08999991,-780784246.5899999
15,24.36,40.4,44.09565228669972,1.54,1.775370252679032,1.4,66.9,72.4,0.9897511139603944,2.44,1.64,1.8531341082582535,0.19,309.51,0.08,167.66,-91551625.08999991,-297392986.8699999
16,24.36,37.43,45.52433997085401,1.53,1.8047191811025525,1.4,67.1,72.4,0.9882485892079194,2.44,1.75,1.8583744769963537,0.16,270.77,0.08,167.66,-91551625.08999991,-771148781.1100003
17,24.36,46.34,58.70037495973012,1.59,1.684257330768039,1.4,56.8,72.4,0.9889927575247499,2.44,1.84,1.9419128892665276,0.17,262.57,0.08,167.66,-91551625.08999991,-809267748.8599997
18,24.36,40.0,47.408949597183714,1.6,1.8477966676220832,1.4,57.8,72.4,0.9890491535643546,2.44,1.73,1.9073823395770966,0.22,375.69,0.08,167.66,-91551625.08999991,-599543859.8100002
19,24.36,41.78,26.68589518425493,1.67,1.860451316387845,1.4,42.7,72.4,0.9898135839603937,2.44,1.71,1.877795231655079,0.19,302.73,0.08,167.66,-91551625.08999991,528815161.56999993
