,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,MLSharpeRatioHitrate,meanDealerSharpeRatio,DealerSharpeRatioHitrate,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,24.16,34.32664913102125,1.48,1.7224717183392084,1.4,51.8,72.4,0.9697730988118787,2.44,3.38,3.4559420185990986,0.19,403.02,0.08,167.66,-91551625.08999991,-236475811.55000007
1,24.36,33.47,39.234369537446135,1.73,1.9213789189659665,1.4,55.4,72.4,0.9773137080198004,2.44,2.84,3.1935111009518624,0.2,345.66,0.08,167.66,-91551625.08999991,266257552.74999976
2,24.36,26.93,24.61814751136148,1.49,1.7998616785930344,1.4,55.3,72.4,0.9836620196039578,2.44,2.03,2.000936130821737,0.18,344.31,0.08,167.66,-91551625.08999991,151845373.27999985
3,24.36,22.57,34.56434744369617,1.51,1.887499030898732,1.4,57.3,72.4,0.9802997575247487,2.44,2.31,2.106164414332053,0.2,438.04,0.08,167.66,-91551625.08999991,-741305879.8499999
4,24.36,20.4,31.422065104794562,1.65,1.926474989065622,1.4,53.4,72.4,0.978107975544553,2.44,2.52,2.386085705456735,0.17,382.42,0.08,167.66,-91551625.08999991,-988353468.3
5,24.36,24.16,25.58691253173679,1.56,1.8428386852481267,1.4,44.6,72.4,0.9825910050495026,2.44,2.12,1.893987406481028,0.17,369.29,0.08,167.66,-91551625.08999991,-476402410.36
6,24.36,26.93,24.61814751136148,1.49,1.7998616785930344,1.4,55.3,72.4,0.9836620196039578,2.44,2.03,2.000936130821737,0.18,344.31,0.08,167.66,-91551625.08999991,151845373.27999985
7,24.36,22.38,33.813573900749766,1.35,1.8049530071814375,1.4,68.2,72.4,0.9783037278217807,2.44,2.47,2.3143171406112164,0.14,297.89,0.08,167.66,-91551625.08999991,-789220327.54
8,24.36,25.35,36.72708530595792,1.48,1.8126999294197854,1.4,55.8,72.4,0.9794287674257404,2.44,2.43,2.3344763843893537,0.19,393.32,0.08,167.66,-91551625.08999991,-562779718.5100002
9,24.36,37.23,43.99187744452917,1.56,1.853056151797525,1.4,61.8,72.4,0.9837413218811867,2.44,2.2,2.37294533275749,0.21,339.81,0.08,167.66,-91551625.08999991,-317155754.91999984
10,24.36,28.12,42.13378773480548,1.45,1.7976874326161116,1.4,60.9,72.4,0.9831044208910868,2.44,2.09,2.0564049995229197,0.19,358.32,0.08,167.66,-91551625.08999991,-959053771.83
11,24.36,21.78,30.086888942316847,1.46,1.9023755794721622,1.4,46.8,72.4,0.9790197773267304,2.44,2.41,2.3672371797862306,0.17,370.64,0.08,167.66,-91551625.08999991,-1056064553.5799999
12,24.36,32.48,45.34569054996615,1.51,1.7426640849973463,1.4,60.1,72.4,0.9842527278217815,2.44,2.06,2.05308428629107,0.11,190.44,0.08,167.66,-91551625.08999991,-922857470.4900001
13,24.36,35.25,39.131181422435404,1.51,1.8081100586577046,1.4,56.6,72.4,0.985105098811879,2.44,2.02,2.1436760463344835,0.2,335.67,0.08,167.66,-91551625.08999991,-81476841.6099999
14,24.36,31.68,37.002363025820124,1.49,1.808690756620922,1.4,54.0,72.4,0.9829783119801964,2.44,2.17,2.0406227888543325,0.19,349.12,0.08,167.66,-91551625.08999991,-529418259.03
15,24.36,32.08,40.123071966789105,1.5,1.8072914953998642,1.4,55.1,72.4,0.9843422129702956,2.44,2.05,1.9944097476696836,0.21,394.49,0.08,167.66,-91551625.08999991,-482674281.14
16,24.36,28.32,30.288464766237706,1.52,1.846492502552739,1.4,50.1,72.4,0.9813725991089088,2.44,2.29,2.738984372296348,0.18,346.14,0.08,167.66,-91551625.08999991,-236171045.1300001
17,24.36,33.86,36.11236747908603,1.56,1.768056334242047,1.4,73.3,72.4,0.9869815397029694,2.44,1.83,2.0180452738812478,0.11,184.11,0.08,167.66,-91551625.08999991,-722431237.2899998
18,24.36,28.12,30.900494676266238,1.42,1.8259289071412104,1.4,51.6,72.4,0.982691880990098,2.44,2.13,2.027503847576135,0.18,333.59,0.08,167.66,-91551625.08999991,-470160148.7499999
19,24.36,27.33,35.28093784186981,1.49,1.8212600887604329,1.4,59.7,72.4,0.97827468821782,2.44,2.58,3.073054129435351,0.18,363.13,0.08,167.66,-91551625.08999991,-686079798.11
