,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,MLSharpeRatioHitrate,meanDealerSharpeRatio,DealerSharpeRatioHitrate,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,28.91,17.124229454263016,1.73,1.684337546775266,1.4,20.5,72.4,0.976379851287127,2.44,2.86,2.8407953723170105,0.18,343.57,0.08,167.66,-91551625.08999991,771897942.22
1,24.36,31.68,23.86769414070914,1.74,1.9050139479373802,1.4,21.7,72.4,0.9757804111881172,2.44,2.97,3.097039977788082,0.19,331.45,0.08,167.66,-91551625.08999991,503581786.22
2,24.36,28.51,21.572183075212784,1.69,1.7473111697351131,1.4,35.6,72.4,0.9758917027722753,2.44,2.89,2.8118784155194985,0.19,380.09,0.08,167.66,-91551625.08999991,719479611.3299999
3,24.36,25.94,24.031067644194902,1.98,1.704718240527545,1.4,31.6,72.4,0.9722079555445526,2.44,3.29,3.109874524784214,0.17,342.51,0.08,167.66,-91551625.08999991,-140519494.77999997
4,24.36,27.92,26.06353668229669,1.84,1.9361583736941357,1.4,47.1,72.4,0.9766939998019784,2.44,2.84,2.8134211656256976,0.14,258.03,0.08,167.66,-91551625.08999991,615530903.5300002
5,24.36,29.5,22.317610880160125,1.85,1.8562253064407255,1.4,29.2,72.4,0.974088554257424,2.44,3.13,3.237627761247412,0.21,424.57,0.08,167.66,-91551625.08999991,607432150.55
6,24.36,28.32,28.77325201941463,1.69,1.5851483400039137,1.4,37.9,72.4,0.9751235245544536,2.44,2.96,2.785218284484441,0.11,207.38,0.08,167.66,-91551625.08999991,137086275.94999993
7,24.36,24.36,20.73934418009155,1.97,1.9526450160051747,1.4,36.7,72.4,0.972731356237622,2.44,3.21,3.184986962752965,0.11,220.29,0.08,167.66,-91551625.08999991,57486487.53999996
8,24.36,29.7,22.397911878502697,1.93,1.911278280755836,1.4,36.6,72.4,0.9755683661386121,2.44,3.01,2.7367917683979366,0.11,208.97,0.08,167.66,-91551625.08999991,640121963.0
9,24.36,26.53,18.223227240256314,1.82,1.9393203925565015,1.4,30.7,72.4,0.9736460889108894,2.44,3.12,3.230891282407607,0.11,215.3,0.08,167.66,-91551625.08999991,30817355.389999986
10,24.36,28.12,22.39886882519343,1.88,1.6416748153532785,1.4,38.6,72.4,0.9760734750495031,2.44,2.92,2.96741771172439,0.1,182.37,0.08,167.66,-91551625.08999991,187770674.34000003
11,24.36,28.12,20.49330749340378,1.74,1.8340229385315723,1.4,34.5,72.4,0.9754873859405921,2.44,2.94,2.8797389676959684,0.08,158.95,0.08,167.66,-91551625.08999991,297320260.65999997
12,24.36,31.88,27.459888242247754,1.63,1.734473557632117,1.4,34.6,72.4,0.9766293911881173,2.44,2.86,2.8788673169122623,0.2,372.42,0.08,167.66,-91551625.08999991,272964216.92999995
13,24.36,29.9,26.92791408089384,1.72,1.6116278581973886,1.4,26.5,72.4,0.9751474651485131,2.44,3.0,2.902935129080627,0.15,279.72,0.08,167.66,-91551625.08999991,-45309917.600000024
14,24.36,30.5,28.351893109499137,1.64,1.8076863120201063,1.4,36.9,72.4,0.9774373465346519,2.44,2.75,2.7581898513355627,0.17,312.9,0.08,167.66,-91551625.08999991,214608426.0
15,24.36,29.31,22.23940060081976,1.89,1.7966487219833718,1.4,39.6,72.4,0.9724246532673251,2.44,3.31,3.1207442032438744,0.09,173.77,0.08,167.66,-91551625.08999991,195884585.68999994
16,24.36,28.71,22.770189470988836,1.76,2.0177971833893316,1.4,17.6,72.4,0.9749360790098994,2.44,3.01,2.8809533323003316,0.15,296.25,0.08,167.66,-91551625.08999991,411819945.17
17,24.36,30.1,21.98148888715296,1.86,2.024914816058299,1.4,37.3,72.4,0.975432346336632,2.44,3.01,3.120397228715335,0.15,273.93,0.08,167.66,-91551625.08999991,418330822.3999999
18,24.36,28.32,18.44199526354966,1.78,1.8806249613868133,1.4,33.3,72.4,0.9756688314851468,2.44,2.93,2.830983614025384,0.1,186.76,0.08,167.66,-91551625.08999991,212974107.24000013
19,24.36,26.93,22.35305033119788,1.83,1.9462412500108965,1.4,31.3,72.4,0.9750139106930675,2.44,2.99,2.9193482684461407,0.13,253.52,0.08,167.66,-91551625.08999991,117693931.34000003
