,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,MLSharpeRatioHitrate,meanDealerSharpeRatio,DealerSharpeRatioHitrate,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,10.69,11.265044840097623,1.72,1.510684241177915,1.4,35.6,72.4,0.9334254057425738,2.44,6.84,4.494020045478213,0.05,168.12,0.08,167.66,-91551625.08999991,-139014588.49
1,24.36,12.87,16.573796060401445,1.67,1.7230568388939598,1.4,17.8,72.4,0.9369734804950494,2.44,6.52,4.650381023583288,0.06,182.23,0.08,167.66,-91551625.08999991,-459344263.05999994
2,24.36,13.66,15.372025783427729,1.73,1.5431618373349845,1.4,26.1,72.4,0.9367159108910887,2.44,6.56,4.601587054986704,0.08,217.87,0.08,167.66,-91551625.08999991,-184307278.99999994
3,24.36,14.65,16.703350635991658,1.82,2.0152577244929177,1.4,38.1,72.4,0.937730217821782,2.44,6.49,4.418860148845289,0.05,146.76,0.08,167.66,-91551625.08999991,-164406821.05
4,24.36,12.67,11.430587577496516,1.86,1.510961737137435,1.4,16.1,72.4,0.9353990792079205,2.44,6.69,4.342380083229962,0.14,429.69,0.08,167.66,-91551625.08999991,26472241.310000002
5,24.36,11.49,9.609551705485456,2.04,2.417401859004618,1.4,13.1,72.4,0.9345159702970295,2.44,6.78,4.5019013501573655,0.12,336.81,0.08,167.66,-91551625.08999991,-194782742.18
6,24.36,14.65,16.500981279240115,1.88,2.3014589765505162,1.4,27.9,72.4,0.936919821584158,2.44,6.58,4.675800767204116,0.07,187.55,0.08,167.66,-91551625.08999991,-88787499.8900001
7,24.36,12.08,10.383203927320329,2.07,1.943474254916175,1.4,11.3,72.4,0.9363765742574256,2.44,6.61,4.513082220453346,0.12,385.07,0.08,167.66,-91551625.08999991,48493758.51999998
8,24.36,12.28,10.525937708528236,1.77,1.6488107845114643,1.4,37.4,72.4,0.9360594158415838,2.44,6.61,4.483470339231905,0.05,159.53,0.08,167.66,-91551625.08999991,-105710471.21999997
9,24.36,12.87,12.809685894460532,1.63,1.4633236061554056,1.4,37.1,72.4,0.9374479306930691,2.44,6.46,4.5678417074997215,0.06,185.32,0.08,167.66,-91551625.08999991,172643311.45999998
10,24.36,12.87,14.349884620155626,2.25,2.2963567749524083,1.4,22.8,72.4,0.9381389900990096,2.44,6.47,4.430321494929268,0.08,213.27,0.08,167.66,-91551625.08999991,125309268.25999999
11,24.36,12.08,12.254798819709467,1.66,1.6397097953132447,1.4,35.4,72.4,0.9357572871287125,2.44,6.62,4.377905233618202,0.06,165.7,0.08,167.66,-91551625.08999991,15337211.149999976
12,24.36,12.28,5.224348121962592,1.47,1.6545313491838693,1.4,10.4,72.4,0.9379523267326727,2.44,6.38,4.505064940147449,0.12,360.8,0.08,167.66,-91551625.08999991,37607501.839999974
13,24.36,10.5,9.63148828958564,1.61,1.5720453316434964,1.4,14.2,72.4,0.9359073166336628,2.44,6.58,4.39246785928741,0.14,432.27,0.08,167.66,-91551625.08999991,380457194.8999999
14,24.36,12.87,9.203947869487711,1.87,1.9946472749535056,1.4,6.0,72.4,0.9369116930693066,2.44,6.55,4.5096925858376125,0.15,476.12,0.08,167.66,-91551625.08999991,-28586904.110000014
15,24.36,9.5,6.815012037262042,1.52,1.6054905251634024,1.4,14.3,72.4,0.9316630396039599,2.44,6.98,4.430927274550718,0.14,509.5,0.08,167.66,-91551625.08999991,284458585.69
16,24.36,16.63,11.93748782875607,1.63,1.3260534004136075,1.4,5.5,72.4,0.9444765146534647,2.44,5.82,4.44260214628476,0.08,202.99,0.08,167.66,-91551625.08999991,182231692.94
17,24.36,13.66,6.50741377167257,1.9,1.8374502666635306,1.4,11.7,72.4,0.9412989009900984,2.44,6.13,4.310819838122792,0.14,398.36,0.08,167.66,-91551625.08999991,228532887.13
18,24.36,11.29,11.75957402603554,1.74,1.580667678819463,1.4,18.3,72.4,0.935993138613861,2.44,6.6,4.456948807418602,0.12,369.83,0.08,167.66,-91551625.08999991,470914527.31
19,24.36,10.89,9.779613956944777,1.86,1.8408800461007715,1.4,24.6,72.4,0.9366383265346531,2.44,6.54,4.497956943674581,0.08,242.18,0.08,167.66,-91551625.08999991,-23759992.850000024
