,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,MLSharpeRatioHitrate,meanDealerSharpeRatio,DealerSharpeRatioHitrate,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,24.36,23.067817391620412,1.48,1.6965552203913017,1.4,57.6,72.4,0.9813928017821756,2.44,2.22,2.0830537817590566,0.12,256.7,0.08,167.66,-91551625.08999991,-321478449.54999995
1,24.36,44.75,43.8687774026382,1.55,1.8027831318598773,1.4,63.2,72.4,0.9890791681188106,2.44,1.78,1.904090314983799,0.19,287.36,0.08,167.66,-91551625.08999991,-64546800.27999997
2,24.36,37.43,42.62606413134489,1.58,1.7756574094209772,1.4,56.1,72.4,0.9890397179207889,2.44,1.68,1.8366889583777406,0.18,305.21,0.08,167.66,-91551625.08999991,-750414751.6300001
3,24.36,32.87,45.164520876322904,1.49,1.793374165357975,1.4,62.1,72.4,0.9845359654455428,2.44,2.03,2.0846840972603498,0.19,340.68,0.08,167.66,-91551625.08999991,-1097141380.15
4,24.36,41.58,46.20153125711358,1.52,1.7981725929751349,1.4,48.1,72.4,0.9902455496039579,2.44,1.61,1.841291406480848,0.26,444.54,0.08,167.66,-91551625.08999991,-890482852.6400001
5,24.36,41.19,51.354956499481034,1.61,1.766949622263575,1.4,40.8,72.4,0.9898677674257399,2.44,1.67,1.826538942920481,0.13,201.11,0.08,167.66,-91551625.08999991,-1273136796.5900002
6,24.36,36.04,46.110295712355466,1.51,1.8210020812818066,1.4,51.6,72.4,0.9876738367326713,2.44,1.77,1.9319825161116182,0.26,467.13,0.08,167.66,-91551625.08999991,-1063685514.8500001
7,24.36,25.54,45.67174219034823,1.33,1.6844095747198147,1.4,47.3,72.4,0.9809454109900958,2.44,2.24,2.1406817373020055,0.15,313.55,0.08,167.66,-91551625.08999991,-1376176322.8600001
8,24.36,40.4,38.8531892578833,1.48,1.803421520713433,1.4,58.3,72.4,0.9874206334653441,2.44,1.85,1.9353536827225972,0.18,301.8,0.08,167.66,-91551625.08999991,-283482171.31999993
9,24.36,41.78,40.72047735537971,1.57,1.8100965955763322,1.4,52.5,72.4,0.989599841386136,2.44,1.69,1.8457167944740303,0.26,425.72,0.08,167.66,-91551625.08999991,-309804851.52
10,24.36,43.17,54.65003764709135,1.58,1.7939168432855905,1.4,48.2,72.4,0.9889896783168299,2.44,1.78,1.9168988616041254,0.16,257.79,0.08,167.66,-91551625.08999991,-857020547.9700003
11,24.36,38.22,48.75592911361718,1.48,1.7614422110103902,1.4,48.3,72.4,0.9884152030693051,2.44,1.72,1.785054285651172,0.16,267.82,0.08,167.66,-91551625.08999991,-1187263416.1799998
12,24.36,42.57,46.06698188276784,1.54,1.8195324665533161,1.4,49.2,72.4,0.9896544505940571,2.44,1.68,1.816072193227698,0.16,256.84,0.08,167.66,-91551625.08999991,-746332069.28
13,24.36,42.18,53.447048167989855,1.49,1.7055097732837317,1.4,50.6,72.4,0.988491272376236,2.44,1.78,1.9512804375090878,0.16,264.3,0.08,167.66,-91551625.08999991,-787395465.0
14,24.36,36.63,38.55455956205562,1.61,1.8110134183062898,1.4,56.0,72.4,0.9884022426732652,2.44,1.75,1.9244623372203828,0.18,307.93,0.08,167.66,-91551625.08999991,-900350116.3199999
15,24.36,38.42,49.78244554079937,1.48,1.7267779157959025,1.4,54.2,72.4,0.9858488169306916,2.44,1.98,1.990624187010829,0.16,253.27,0.08,167.66,-91551625.08999991,-943270796.03
16,24.36,31.29,44.49651930298375,1.43,1.7840274548958868,1.4,55.4,72.4,0.986456777326731,2.44,1.8,1.8674156292312512,0.16,306.31,0.08,167.66,-91551625.08999991,-1292819173.04
17,24.36,37.43,33.21733538548074,1.5,1.8283529744093154,1.4,56.2,72.4,0.9883470295049485,2.44,1.73,1.8656016322385247,0.16,275.7,0.08,167.66,-91551625.08999991,-360535127.26
18,24.36,48.51,53.150774721588114,1.62,1.7848161873772557,1.4,41.1,72.4,0.9903726783168298,2.44,1.74,1.9063833029511428,0.25,386.93,0.08,167.66,-91551625.08999991,-700478199.7299998
19,24.36,40.99,38.83637359454635,1.6,1.7944002973104063,1.4,55.3,72.4,0.9891345740594035,2.44,1.74,1.873699933866794,0.18,282.48,0.08,167.66,-91551625.08999991,-322504634.88999987
