,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,MLSharpeRatioHitrate,meanDealerSharpeRatio,DealerSharpeRatioHitrate,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,29.11,37.672773702304355,1.48,1.817253132012672,1.4,53.9,72.4,0.9826755199009881,2.44,2.16,2.1291188202969393,0.19,382.91,0.08,167.66,-91551625.08999991,-679285784.06
1,24.36,24.95,26.241209999365118,1.48,1.8431458645491907,1.4,49.8,72.4,0.972447762178217,2.44,3.12,3.31339925931995,0.17,372.22,0.08,167.66,-91551625.08999991,-63349400.41999996
2,24.36,25.94,33.81667590731072,1.5,1.7963967181684612,1.4,46.9,72.4,0.9776320347524731,2.44,2.62,2.594952118453326,0.18,369.14,0.08,167.66,-91551625.08999991,-718901875.0300001
3,24.36,19.21,31.13936462173456,1.51,1.9112116378205188,1.4,48.3,72.4,0.9708191436633642,2.44,3.21,3.2802550225696026,0.18,444.76,0.08,167.66,-91551625.08999991,-1114395443.3200002
4,24.36,22.18,23.77466332270951,1.53,1.7037293756332443,1.4,48.2,72.4,0.9794413760396017,2.44,2.39,2.1022884404278463,0.13,284.63,0.08,167.66,-91551625.08999991,-543246330.3200002
5,24.36,21.78,22.491489802919936,1.7,1.8864820474556308,1.4,28.5,72.4,0.9768774948514836,2.44,2.68,2.3829475079746083,0.11,249.73,0.08,167.66,-91551625.08999991,-787911810.0299999
6,24.36,20.79,29.044466393522306,1.41,1.6486525505060887,1.4,59.4,72.4,0.9753219953465326,2.44,2.76,2.9431400376482952,0.13,303.46,0.08,167.66,-91551625.08999991,-682573497.4100001
7,24.36,22.97,16.40539055029386,1.54,1.815524504275463,1.4,33.7,72.4,0.9756684354455435,2.44,2.78,2.6085640437069473,0.14,302.54,0.08,167.66,-91551625.08999991,205281405.85999995
8,24.36,23.17,15.498762707355644,1.59,1.8676539541818276,1.4,38.4,72.4,0.9739884156435618,2.44,2.97,3.1517588242234704,0.15,329.55,0.08,167.66,-91551625.08999991,320620480.84
9,24.36,23.37,22.225203908813207,1.71,1.8346784985517957,1.4,38.9,72.4,0.9760146730693052,2.44,2.79,2.5232752514284393,0.14,299.7,0.08,167.66,-91551625.08999991,-422291338.01
10,24.36,23.17,23.633705007975877,1.6,1.8604849911695345,1.4,43.8,72.4,0.9809467423762344,2.44,2.27,2.1084399869736146,0.16,360.32,0.08,167.66,-91551625.08999991,-17856706.96000004
11,24.36,20.0,22.625879085556143,1.51,1.855946404497539,1.4,53.2,72.4,0.9784067179207897,2.44,2.46,2.133685478982195,0.11,265.32,0.08,167.66,-91551625.08999991,-434906422.90000004
12,24.36,24.55,43.8014861424752,1.51,1.8804688889026728,1.4,51.5,72.4,0.9819021931683143,2.44,2.18,1.9574782564449653,0.19,393.94,0.08,167.66,-91551625.08999991,-1429994402.43
13,24.36,19.01,17.84385456390496,1.58,1.9359166917768968,1.4,36.6,72.4,0.9755839603960378,2.44,2.74,2.2645185220502504,0.09,194.35,0.08,167.66,-91551625.08999991,-781029521.1099999
14,24.36,23.96,32.64779236690622,1.64,1.852927753294959,1.4,48.0,72.4,0.9778417377227704,2.44,2.61,2.4358409031897996,0.17,352.12,0.08,167.66,-91551625.08999991,-1170015495.75
15,24.36,20.4,10.752508003315683,1.68,2.0460134377985466,1.4,28.5,72.4,0.9725837522772265,2.44,3.08,3.2187933025646878,0.12,289.99,0.08,167.66,-91551625.08999991,8513998.74999994
16,24.36,22.38,32.6909967750223,1.42,1.8746230948719058,1.4,54.0,72.4,0.9735108864356428,2.44,2.97,2.714130456165489,0.17,389.84,0.08,167.66,-91551625.08999991,-956063319.5899999
17,24.36,31.68,43.52817517817489,1.54,1.694797161063463,1.4,41.9,72.4,0.9788448367326713,2.44,2.6,2.4403183219924944,0.16,287.79,0.08,167.66,-91551625.08999991,-891777137.3599999
18,24.36,24.16,16.01018528276181,1.48,1.7948370310475015,1.4,39.6,72.4,0.9799929007920773,2.44,2.36,2.2150928477260363,0.16,347.06,0.08,167.66,-91551625.08999991,321899292.0799999
19,24.36,16.63,31.76990141383063,1.45,1.9009849438281923,1.4,47.6,72.4,0.9739582428712853,2.44,2.84,2.400393521915309,0.1,260.16,0.08,167.66,-91551625.08999991,-1206011642.67
