,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,MLSharpeRatioHitrate,meanDealerSharpeRatio,DealerSharpeRatioHitrate,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,39.8,40.469170298789884,1.63,1.8542585407040144,1.4,63.0,72.4,0.9893190493069288,2.44,1.71,1.8679491256577374,0.19,315.33,0.08,167.66,-91551625.08999991,-3722248.6300001144
1,24.36,44.75,46.618520396842165,1.55,1.7867953604961382,1.4,58.2,72.4,0.9904782822772258,2.44,1.64,1.8498392599293403,0.27,449.06,0.08,167.66,-91551625.08999991,-174423274.6500001
2,24.36,47.13,48.757283564970216,1.66,1.8428956851290486,1.4,38.7,72.4,0.9911767674257409,2.44,1.66,1.839007980455048,0.29,475.65,0.08,167.66,-91551625.08999991,-385716247.5899999
3,24.36,41.98,42.07663530929022,1.47,1.7253533752254917,1.4,51.5,72.4,0.9894511879207907,2.44,1.67,1.8202699885599232,0.29,499.0,0.08,167.66,-91551625.08999991,203366340.01
4,24.36,40.59,52.046794564270705,1.53,1.8302327230923727,1.4,48.4,72.4,0.988966975346532,2.44,1.72,1.881232720017437,0.15,252.47,0.08,167.66,-91551625.08999991,-1412383778.83
5,24.36,42.77,43.43494697802356,1.49,1.8142332874454004,1.4,48.3,72.4,0.9899700347524732,2.44,1.64,1.8355582709141278,0.25,419.78,0.08,167.66,-91551625.08999991,-819126457.1099999
6,24.36,45.74,43.815075031988975,1.5,1.7792541202467014,1.4,57.2,72.4,0.9903843364356419,2.44,1.65,1.808772371139918,0.26,475.02,0.08,167.66,-91551625.08999991,214813748.77000022
7,24.36,38.61,47.342954620655355,1.59,1.8647807882266696,1.4,57.5,72.4,0.9890386684158406,2.44,1.71,1.818470030410411,0.18,294.76,0.08,167.66,-91551625.08999991,-829157505.94
8,24.36,42.18,44.6474241516841,1.54,1.800587774654993,1.4,66.4,72.4,0.9903042228712852,2.44,1.61,1.816106850598557,0.2,315.38,0.08,167.66,-91551625.08999991,-402419079.65999985
9,24.36,42.38,40.21942412144334,1.6,1.8182058406795178,1.4,49.4,72.4,0.9904976631683149,2.44,1.63,1.822444735889441,0.26,446.93,0.08,167.66,-91551625.08999991,-398014514.48
10,24.36,37.62,47.24314531948291,1.49,1.7822398390835568,1.4,75.0,72.4,0.9875105793069288,2.44,1.81,1.9202243357774749,0.15,248.32,0.08,167.66,-91551625.08999991,-570881704.46
11,24.36,40.59,48.11656621422853,1.58,1.8195111113839688,1.4,31.1,72.4,0.9896432624752448,2.44,1.67,1.8324609116439243,0.26,445.9,0.08,167.66,-91551625.08999991,-1125144956.42
12,24.36,46.53,46.15125808567741,1.58,1.7751517650942654,1.4,58.1,72.4,0.9909017476237599,2.44,1.64,1.8191207949116286,0.18,269.71,0.08,167.66,-91551625.08999991,-213104237.38999987
13,24.36,34.65,39.59333944019864,1.55,1.7774944757708202,1.4,61.5,72.4,0.9878939258415808,2.44,1.75,1.8035741179984848,0.19,325.63,0.08,167.66,-91551625.08999991,-759617867.56
14,24.36,40.0,39.75408278011326,1.59,1.8264552688830462,1.4,56.6,72.4,0.9902404948514836,2.44,1.61,1.8149244642303501,0.26,448.5,0.08,167.66,-91551625.08999991,-46852416.43999982
15,24.36,45.54,50.84191067749628,1.45,1.7580325508071832,1.4,54.2,72.4,0.9904125000990084,2.44,1.62,1.8077456386194921,0.18,282.35,0.08,167.66,-91551625.08999991,-571078711.04
16,24.36,44.95,52.44275683460995,1.56,1.7846670761264123,1.4,42.5,72.4,0.9910995694059385,2.44,1.59,1.8121964603315652,0.25,394.07,0.08,167.66,-91551625.08999991,-1014273263.0300002
17,24.36,40.4,38.02868463947684,1.59,1.8357638340961269,1.4,47.8,72.4,0.9903271879207901,2.44,1.61,1.8224046563960323,0.26,459.88,0.08,167.66,-91551625.08999991,-151967510.03999996
18,24.36,36.04,36.86084954012581,1.62,1.8176818800602779,1.4,38.9,72.4,0.9891836631683147,2.44,1.66,1.829396678898269,0.26,475.38,0.08,167.66,-91551625.08999991,-426019102.93999994
19,24.36,42.38,46.76727296036317,1.54,1.7880288002682376,1.4,65.8,72.4,0.9891515199009882,2.44,1.73,1.9026672250845187,0.2,319.88,0.08,167.66,-91551625.08999991,-318904504.24
