,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,MLSharpeRatioHitrate,meanDealerSharpeRatio,DealerSharpeRatioHitrate,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,39.6,39.811186674684976,1.58,1.823776376087567,1.4,50.8,72.4,0.9885885793069297,2.44,1.76,1.8750891431689392,0.21,345.51,0.08,167.66,-91551625.08999991,-599595065.9300002
1,24.36,37.43,41.11446578445913,1.53,1.7736112886795548,1.4,67.8,72.4,0.9885574406930677,2.44,1.72,1.789026787842795,0.15,252.65,0.08,167.66,-91551625.08999991,-592699421.8199999
2,24.36,46.34,46.890226951104,1.58,1.7560139010489837,1.4,47.0,72.4,0.9910603218811861,2.44,1.62,1.7665392901592347,0.26,406.49,0.08,167.66,-91551625.08999991,-486481153.15999985
3,24.36,45.15,48.3205341891135,1.53,1.7436213818647215,1.4,58.8,72.4,0.9894446288118798,2.44,1.74,1.8817609843368692,0.17,260.93,0.08,167.66,-91551625.08999991,-447127598.8000002
4,24.36,44.16,49.97163693213797,1.57,1.80219882689879,1.4,48.9,72.4,0.9892603020792059,2.44,1.77,1.915014757661908,0.2,320.9,0.08,167.66,-91551625.08999991,-1245074305.83
5,24.36,44.36,49.90280557771729,1.57,1.7560443852000274,1.4,47.5,72.4,0.9883710347524728,2.44,1.86,2.003442203150117,0.25,408.87,0.08,167.66,-91551625.08999991,-512206959.8200002
6,24.36,38.81,50.00636908351318,1.65,1.8243514858988772,1.4,37.2,72.4,0.9881203713861366,2.44,1.83,1.9297278817833066,0.22,370.66,0.08,167.66,-91551625.08999991,-1274897696.22
7,24.36,47.13,42.06280457718521,1.7,1.82249294087127,1.4,43.8,72.4,0.9910579106930674,2.44,1.69,1.843208507031226,0.23,356.66,0.08,167.66,-91551625.08999991,58870223.07000017
8,24.36,44.55,46.37729122843361,1.63,1.7995755764315762,1.4,51.2,72.4,0.9907934406930672,2.44,1.64,1.8216613452868295,0.21,334.32,0.08,167.66,-91551625.08999991,-986316765.7599999
9,24.36,44.16,48.7287071030748,1.6,1.790354948023554,1.4,70.7,72.4,0.9904853911881182,2.44,1.66,1.8204721415099976,0.16,240.59,0.08,167.66,-91551625.08999991,-134250933.70000005
10,24.36,35.45,33.388195680104786,1.59,1.8486317887570405,1.4,53.1,72.4,0.9889746631683146,2.44,1.66,1.8243458237674597,0.21,374.98,0.08,167.66,-91551625.08999991,-460744011.00999975
11,24.36,44.75,52.54150393041479,1.55,1.6953063388207765,1.4,61.3,72.4,0.9893970545544533,2.44,1.75,1.9139185005938284,0.18,271.79,0.08,167.66,-91551625.08999991,-666120284.9500003
12,24.36,30.3,40.39237926871982,1.6,1.7328990103930402,1.4,61.2,72.4,0.9831124109900957,2.44,2.17,2.056556834942286,0.14,258.5,0.08,167.66,-91551625.08999991,-1102035222.61
13,24.36,41.58,47.07146263309809,1.55,1.759055858444866,1.4,62.4,72.4,0.9896350446534626,2.44,1.68,1.8252711025060253,0.19,292.72,0.08,167.66,-91551625.08999991,-746323407.5
14,24.36,46.93,50.80283950627443,1.58,1.7624716113996342,1.4,73.9,72.4,0.9907055298019785,2.44,1.67,1.8517693564511077,0.14,206.58,0.08,167.66,-91551625.08999991,-377008868.3600004
15,24.36,45.35,51.87273901896094,1.6,1.8409007681213119,1.4,52.0,72.4,0.9906745793069286,2.44,1.66,1.8507672677886575,0.26,419.54,0.08,167.66,-91551625.08999991,-783802633.4200001
16,24.36,47.72,57.23471701685213,1.61,1.7939163299420486,1.4,54.0,72.4,0.9904268763366328,2.44,1.72,1.8932254918834903,0.16,240.22,0.08,167.66,-91551625.08999991,-788723759.1599998
17,24.36,40.0,47.98792150330191,1.57,1.8157100405361633,1.4,57.4,72.4,0.9856320050495037,2.44,2.06,2.229961920284864,0.22,362.76,0.08,167.66,-91551625.08999991,-920848445.01
18,24.36,42.57,40.29181822154742,1.57,1.8150045231392087,1.4,57.3,72.4,0.9896478070297016,2.44,1.7,1.8471226155623819,0.16,257.41,0.08,167.66,-91551625.08999991,-603094083.14
19,24.36,46.73,45.030314678149985,1.69,1.8307405501621878,1.4,46.2,72.4,0.9911138512871264,2.44,1.68,1.846333322223097,0.26,411.4,0.08,167.66,-91551625.08999991,237266.7699997425
