,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,MLSharpeRatioHitrate,meanDealerSharpeRatio,DealerSharpeRatioHitrate,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,40.99,57.47718149124744,1.56,1.6859369708342717,1.4,54.9,72.4,0.9852967674257403,2.44,2.11,2.195801215680202,0.12,186.2,0.08,167.66,-91551625.08999991,-953195673.0699997
1,24.36,38.22,43.73282226646433,1.54,1.7653363831060525,1.4,54.7,72.4,0.9886932525742547,2.44,1.72,1.8178214913652715,0.15,254.87,0.08,167.66,-91551625.08999991,-794615963.3300003
2,24.36,40.2,46.397841412472076,1.51,1.7840613055264427,1.4,61.7,72.4,0.9886151040594046,2.44,1.74,1.9009938766093217,0.19,316.74,0.08,167.66,-91551625.08999991,-363796097.74000025
3,24.36,43.17,31.706489844135614,1.49,1.7424832982054546,1.4,55.6,72.4,0.9897864849504935,2.44,1.66,1.7706501093619862,0.18,275.09,0.08,167.66,-91551625.08999991,530471635.12
4,24.36,34.65,43.4604689207433,1.47,1.808607075920414,1.4,54.4,72.4,0.9877785099999981,2.44,1.73,1.8579037479085805,0.17,299.98,0.08,167.66,-91551625.08999991,-1095844019.08
5,24.36,42.97,42.05495172037934,1.48,1.788745043462749,1.4,38.0,72.4,0.9895880149504931,2.44,1.67,1.8454649321668324,0.24,391.04,0.08,167.66,-91551625.08999991,-592838555.03
6,24.36,35.45,34.763842377022065,1.56,1.855375399844598,1.4,59.4,72.4,0.9882821384158385,2.44,1.72,1.8382025361813041,0.17,293.26,0.08,167.66,-91551625.08999991,-373830091.89999986
7,24.36,35.45,34.763842377022065,1.56,1.855375399844598,1.4,59.4,72.4,0.9882821384158385,2.44,1.72,1.8382025361813041,0.17,293.26,0.08,167.66,-91551625.08999991,-373830091.89999986
8,24.36,30.1,27.89807826204282,1.44,1.7023285925302507,1.4,60.6,72.4,0.9852960889108892,2.44,1.9,1.8821924047153684,0.18,355.95,0.08,167.66,-91551625.08999991,-59210684.95000005
9,24.36,41.19,50.16355509515933,1.52,1.8119338147447155,1.4,53.7,72.4,0.9888994802970276,2.44,1.73,1.8654098174757217,0.17,279.01,0.08,167.66,-91551625.08999991,-624141549.5700002
10,24.36,42.38,39.90513835513613,1.58,1.8008951543293765,1.4,51.4,72.4,0.9899040394059381,2.44,1.68,1.8488349312577872,0.25,422.06,0.08,167.66,-91551625.08999991,-265839873.59000015
11,24.36,34.85,45.96447876708093,1.52,1.7517374610532674,1.4,53.1,72.4,0.9865952525742555,2.44,1.87,1.9898486844820678,0.26,477.36,0.08,167.66,-91551625.08999991,-1076491567.8700004
12,24.36,36.63,44.20946413839852,1.54,1.8070352782471952,1.4,50.1,72.4,0.9879084802970279,2.44,1.77,1.8156939995997519,0.15,262.19,0.08,167.66,-91551625.08999991,-1085113203.16
13,24.36,40.99,44.42109022973835,1.54,1.8175266015458065,1.4,44.6,72.4,0.9885387476237602,2.44,1.77,1.9516549667300325,0.27,474.34,0.08,167.66,-91551625.08999991,-907490628.4100003
14,24.36,38.81,36.06277827422704,1.62,1.8580368837934471,1.4,49.6,72.4,0.9899972473267296,2.44,1.63,1.8117429136655188,0.25,436.96,0.08,167.66,-91551625.08999991,-290931864.22
15,24.36,43.17,43.690453482459176,1.49,1.736798540617949,1.4,51.6,72.4,0.9898401285148496,2.44,1.65,1.8303889605350616,0.17,263.51,0.08,167.66,-91551625.08999991,-388927612.6500001
16,24.36,42.38,50.274944787953025,1.49,1.7868536310482463,1.4,51.3,72.4,0.9894911040594038,2.44,1.68,1.8435302854037723,0.16,264.95,0.08,167.66,-91551625.08999991,-927239602.9000001
17,24.36,41.58,49.52898190665256,1.51,1.7998292834702965,1.4,48.4,72.4,0.9897744505940569,2.44,1.65,1.8301991963124598,0.27,462.04,0.08,167.66,-91551625.08999991,-1182124596.83
18,24.36,42.18,45.15733371693017,1.56,1.7865100445937476,1.4,61.9,72.4,0.9890443911881167,2.44,1.75,1.9417941667632783,0.19,307.32,0.08,167.66,-91551625.08999991,-369516364.6099999
19,24.36,40.99,44.7904437312229,1.59,1.8225934586958172,1.4,59.3,72.4,0.9887040743564344,2.44,1.78,1.8761949454264757,0.24,396.25,0.08,167.66,-91551625.08999991,-428065956.76
