,State,State_index,Action,Reward,Reward_Terms,Next_State
0,"[2, 1, 1, 0, 0]",148,21,0.7026681086129294,"(758242.7977055736, 12500000.0, 0.0, 0.5237754680308322)","[3, 3, 1, 1, 1]"
1,"[3, 3, 1, 1, 1]",247,69,0.6013438986208081,"(758242.7977055736, 6000000.0, 0.0, 1.8762663849483023)","[2, 0, 0, 0, 0]"
2,"[2, 0, 0, 0, 0]",128,134,0.7032516046539227,"(758242.7977055736, 500000.0, 0.0, 0.518948846764765)","[2, 0, 3, 0, 0]"
3,"[2, 0, 3, 0, 0]",140,110,0.7056417395360911,"(758242.7977055736, 308000.0, -0.0, 0.5422353367590492)","[3, 1, 3, 1, 1]"
4,"[3, 1, 3, 1, 1]",223,95,0.5444478099310242,"(758242.7977055736, 500000.0, 0.0, 1.8325580555555223)","[2, 3, 3, 1, 0]"
5,"[2, 3, 3, 1, 0]",190,72,0.7004364729144967,"(758242.7977055736, 2000000.0, 0.0, 0.5422353367590492)","[3, 0, 3, 0, 1]"
6,"[3, 0, 3, 0, 1]",205,25,0.5443797392137663,"(758242.7977055736, 5000000.0, 0.0, 1.8331211297641392)","[2, 0, 1, 0, 0]"
7,"[2, 0, 1, 0, 0]",132,22,0.7007129289378108,"(758242.7977055736, 1050000.0, -0.0, 0.5399485200070641)","[3, 1, 2, 0, 1]"
8,"[3, 1, 2, 0, 1]",217,12,0.5434898899717515,"(758242.7977055736, 25000000.0, 0.0, 2.104249628611231)","[3, 1, 3, 1, 1]"
9,"[3, 1, 3, 1, 1]",223,130,0.5139858807937128,"(758242.7977055736, 50000.0, 0.0, 2.084536106219407)","[3, 1, 3, 1, 1]"
10,"[3, 1, 3, 1, 1]",223,102,0.5146385835622963,"(758242.7977055736, 200000.0, 0.0, 2.0791370137801457)","[2, 0, 2, 0, 0]"
11,"[2, 0, 2, 0, 0]",136,141,0.6831421097194063,"(758242.7977055736, 4700000.0, 0.0, 0.6852925904782319)","[3, 0, 1, 0, 1]"
12,"[3, 0, 1, 0, 1]",197,23,0.6625289190139727,"(758242.7977055736, 52000000.0, 0.0, 2.0902359458942548)","[3, 1, 3, 1, 1]"
13,"[3, 1, 3, 1, 1]",223,45,0.5127829556496583,"(758242.7977055736, 100000.0, -0.0, 2.0997619385570396)","[3, 1, 3, 1, 1]"
14,"[3, 1, 3, 1, 1]",223,47,0.5121452116381909,"(758242.7977055736, 100000.0, 0.0, 2.0997619385570396)","[3, 1, 3, 1, 1]"
15,"[3, 1, 3, 1, 1]",223,52,0.5369890246100267,"(758242.7977055736, 1000000.0, -0.0, 1.8942563865126154)","[1, 0, 3, 1, 0]"
16,"[1, 0, 3, 1, 0]",78,38,1.0,"(758242.7977055736, 78000000.0, 0.0, 0.32790231091110755)","[1, 0, 3, 1, 0]"
17,"[1, 0, 3, 1, 0]",78,116,0.7263473941943909,"(758242.7977055736, 15000000.0, -0.0, 0.32790277083445457)","[1, 0, 3, 0, 0]"
18,"[1, 0, 3, 0, 0]",76,136,0.7263151235932161,"(758242.7977055736, 500000.0, -0.0, 0.3281697100404751)","[1, 1, 3, 1, 0]"
19,"[1, 1, 3, 1, 0]",94,101,0.7262611913175463,"(758242.7977055736, 1020000.0, -0.0, 0.32861583246528653)","[1, 1, 3, 1, 0]"
20,"[1, 1, 3, 1, 0]",94,106,0.7262611913175463,"(758242.7977055736, 15000.0, -0.0, 0.32861583246528653)","[3, 1, 3, 1, 1]"
21,"[3, 1, 3, 1, 1]",223,142,0.5407904693683402,"(758242.7977055736, 50000.0, -0.0, 1.8628112132411359)","[1, 1, 3, 1, 0]"
