,State,State_index,Action,Reward,Next_State
0,"[0, 1, 1, 2, 0, 0]",88,21,0.3721125766259296,875
1,"[3, 1, 2, 2, 1, 1]",875,69,0.19750212080063864,48
2,"[0, 0, 3, 0, 0, 0]",48,134,0.3721125766259296,496
3,"[1, 3, 3, 0, 0, 0]",496,110,0.23757319918484154,979
4,"[3, 3, 1, 0, 1, 1]",979,95,0.25715076500769896,470
5,"[1, 3, 1, 1, 1, 0]",470,72,0.3721125766259296,969
6,"[3, 3, 0, 2, 0, 1]",969,25,0.25715076500769896,372
7,"[1, 1, 3, 1, 0, 0]",372,22,0.3721125766259296,909
8,"[3, 2, 0, 3, 0, 1]",909,12,0.15768356846436227,963
9,"[3, 3, 0, 0, 1, 1]",963,130,0.25715076500769896,963
10,"[3, 3, 0, 0, 1, 1]",963,102,0.25715076500769896,440
11,"[1, 2, 3, 2, 0, 0]",440,141,0.3721125766259296,845
12,"[3, 1, 0, 3, 0, 1]",845,23,0.31192806593536354,979
13,"[3, 3, 1, 0, 1, 1]",979,45,0.11660758815961628,963
14,"[3, 3, 0, 0, 1, 1]",963,47,0.25715076500769896,963
15,"[3, 3, 0, 0, 1, 1]",963,52,0.25715076500769896,254
16,"[0, 3, 3, 3, 1, 0]",254,38,0.7865142765482703,250
17,"[0, 3, 3, 2, 1, 0]",250,116,0.3721125766259296,240
18,"[0, 3, 3, 0, 0, 0]",240,136,0.3721125766259296,214
19,"[0, 3, 1, 1, 1, 0]",214,101,0.3721125766259296,210
20,"[0, 3, 1, 0, 1, 0]",210,106,0.3721125766259296,963
21,"[3, 3, 0, 0, 1, 1]",963,142,0.25715076500769896,210
22,"[0, 3, 1, 0, 1, 0]",210,105,0.3721125766259296,973
23,"[3, 3, 0, 3, 0, 1]",973,35,0.25715076500769896,771
24,"[3, 0, 0, 0, 1, 1]",771,105,0.25715076500769896,218
25,"[0, 3, 1, 2, 1, 0]",218,65,0.3721125766259296,354
26,"[1, 1, 2, 0, 1, 0]",354,46,0.3721125766259296,969
27,"[3, 3, 0, 2, 0, 1]",969,39,0.25715076500769896,250
28,"[0, 3, 3, 2, 1, 0]",250,39,0.28941108632945506,178
29,"[0, 2, 3, 0, 1, 0]",178,50,0.3721125766259296,244
30,"[0, 3, 3, 1, 0, 0]",244,11,0.3721125766259296,40
31,"[0, 0, 2, 2, 0, 0]",40,39,0.3721125766259296,212
32,"[0, 3, 1, 1, 0, 0]",212,11,0.3721125766259296,971
33,"[3, 3, 0, 2, 1, 1]",971,26,0.15977928174524272,841
34,"[3, 1, 0, 2, 0, 1]",841,23,0.16384261445511578,837
35,"[3, 1, 0, 1, 0, 1]",837,35,0.25715076500769896,769
36,"[3, 0, 0, 0, 0, 1]",769,12,0.117389418510501,244
37,"[0, 3, 3, 1, 0, 0]",244,18,0.3721125766259296,164
38,"[0, 2, 2, 1, 0, 0]",164,34,0.3721125766259296,909
39,"[3, 2, 0, 3, 0, 1]",909,27,0.25715076500769896,210
40,"[0, 3, 1, 0, 1, 0]",210,133,0.3721125766259296,380
41,"[1, 1, 3, 3, 0, 0]",380,46,1.0,298
42,"[1, 0, 2, 2, 1, 0]",298,149,0.3721125766259296,338
43,"[1, 1, 1, 0, 1, 0]",338,102,0.3721125766259296,909
44,"[3, 2, 0, 3, 0, 1]",909,7,0.24151209969920903,997
45,"[3, 3, 2, 1, 0, 1]",997,54,0.25715076500769896,781
46,"[3, 0, 0, 3, 0, 1]",781,75,0.25715076500769896,340
47,"[1, 1, 1, 1, 0, 0]",340,24,0.3721125766259296,837
48,"[3, 1, 0, 1, 0, 1]",837,33,0.25715076500769896,971
49,"[3, 3, 0, 2, 1, 1]",971,38,0.25715076500769896,925
50,"[3, 2, 1, 3, 0, 1]",925,39,0.25715076500769896,446
51,"[1, 2, 3, 3, 1, 0]",446,102,0.3721125766259296,298
52,"[1, 0, 2, 2, 1, 0]",298,31,0.3721125766259296,274
53,"[1, 0, 1, 0, 1, 0]",274,98,0.3721125766259296,274
54,"[1, 0, 1, 0, 1, 0]",274,101,0.3721125766259296,274
55,"[1, 0, 1, 0, 1, 0]",274,104,0.3721125766259296,797
56,"[3, 0, 1, 3, 0, 1]",797,113,0.25715076500769896,316
57,"[1, 0, 3, 3, 0, 0]",316,99,0.3721125766259296,510
58,"[1, 3, 3, 3, 1, 0]",510,56,0.3721125766259296,296
59,"[1, 0, 2, 2, 0, 0]",296,114,0.3721125766259296,963
60,"[3, 3, 0, 0, 1, 1]",963,8,0.11660758815961424,284
61,"[1, 0, 1, 3, 0, 0]",284,55,0.3721125766259296,294
62,"[1, 0, 2, 1, 1, 0]",294,29,0.3721125766259296,34
63,"[0, 0, 2, 0, 1, 0]",34,76,0.3721125766259296,44
64,"[0, 0, 2, 3, 0, 0]",44,62,0.8280093995093674,903
65,"[3, 2, 0, 1, 1, 1]",903,39,0.25715076500769896,845
66,"[3, 1, 0, 3, 0, 1]",845,44,0.7402918605421124,909
67,"[3, 2, 0, 3, 0, 1]",909,130,0.25715076500769896,184
68,"[0, 2, 3, 2, 0, 0]",184,69,0.3782693294377538,909
69,"[3, 2, 0, 3, 0, 1]",909,26,0.225794250092196,787
70,"[3, 0, 1, 0, 1, 1]",787,96,0.25715076500769896,899
71,"[3, 2, 0, 0, 1, 1]",899,104,0.25715076500769896,787
72,"[3, 0, 1, 0, 1, 1]",787,105,0.25715076500769896,775
73,"[3, 0, 0, 1, 1, 1]",775,3,0.25715076500769896,843
74,"[3, 1, 0, 2, 1, 1]",843,22,0.15495914119929657,771
75,"[3, 0, 0, 0, 1, 1]",771,12,0.25715076500769896,835
76,"[3, 1, 0, 0, 1, 1]",835,48,0.25715076500769896,60
77,"[0, 0, 3, 3, 0, 0]",60,149,0.3721125766259296,875
78,"[3, 1, 2, 2, 1, 1]",875,20,0.25715076500769896,38
79,"[0, 0, 2, 1, 1, 0]",38,33,0.3721125766259296,899
80,"[3, 2, 0, 0, 1, 1]",899,75,0.25715076500769896,899
81,"[3, 2, 0, 0, 1, 1]",899,50,0.25715076500769896,20
82,"[0, 0, 1, 1, 0, 0]",20,110,0.3721125766259296,20
83,"[0, 0, 1, 1, 0, 0]",20,102,0.3721125766259296,24
84,"[0, 0, 1, 2, 0, 0]",24,105,0.3721125766259296,853
85,"[3, 1, 1, 1, 0, 1]",853,114,0.25715076500769896,112
86,"[0, 1, 3, 0, 0, 0]",112,148,0.3721125766259296,98
87,"[0, 1, 2, 0, 1, 0]",98,54,0.3721125766259296,254
88,"[0, 3, 3, 3, 1, 0]",254,120,0.3721125766259296,901
89,"[3, 2, 0, 1, 0, 1]",901,15,0.12205644268984385,837
90,"[3, 1, 0, 1, 0, 1]",837,43,0.1452350315761118,787
91,"[3, 0, 1, 0, 1, 1]",787,15,0.25715076500769896,841
92,"[3, 1, 0, 2, 0, 1]",841,45,0.24151209969862836,274
93,"[1, 0, 1, 0, 1, 0]",274,47,0.3721125766259296,274
94,"[1, 0, 1, 0, 1, 0]",274,154,0.3721125766259296,845
95,"[3, 1, 0, 3, 0, 1]",845,43,0.25715076500769896,769
96,"[3, 0, 0, 0, 0, 1]",769,105,0.25715076500769896,769
97,"[3, 0, 0, 0, 0, 1]",769,85,0.11618843628230666,771
