,TradeKey,Result,OrderType,OrderStatus,Isin,Side,Price,Amount,TradeTime,DealersInCompetition,DealerName,ClientFirm,FirmAccount,CoverPrice,TimeToRespondMs,BookName,SettlementDate,SecurityDescription,SalesPersonName,AutoQuoted,TradeIdentifier,TradedPrice,Bid,Mid,Ask,BidAskSpread,CostAndListBasedPrice,CostBasedPrice,ListBasedPrice,SpreadProfit,KeyRatioPrice,Yield,Oas,RiskSpread,Bpv,Duration,MVal,CouponNum,IssuedAmount,KeyRatioDifference,RiskOas,Convexity,AmortType,Issuer,LCRLevel,BondType,TotalDrawPct,Vega,BondCategory,AllQMeanMid,AllQMaxMid,AllQMinMid,MarketThicknes,AllQMeanSpread,AllQMaxSpread,AllQMinSpread,Position_P2,Position_Risk,Liquidity,MeanPriceHour,MeanPriceDay,NumberTradesHour,NumberTradesDay,VolatilityWeek,VolatilityWeekNumber,VolatilityMonth,VolatilityMonthNumber,SentimentScore,inventoryRisk,bpv_risk
0,7249273161638215680,Lost,INQUIRY,TRADED_AWAY,DK0009531485,BUY,92.762,2000000.0,06/27/2023 10:02:46,2,LARS SKRIVER,CARNEGIE INVESTMENT BANK AB,CBA,0.0,11667,LANGFLEX,06/29/2023 02:00:00,NYKRE 1 07/01/26,MALTE KILDAHL PETERSEN,False,5a6b7be216003bdc514187db17ca5979,92.832,92.709,92.909,93.109,0.4,0.735,0.0015821933289562,1.000571681282292,2940.0,92.763,3.58034456622398,-0.0486062555666703,2.66900686581408,2.66901507387317,2.665917009774,1858180.0,1.0,33136098128.0,0.146,0.0,0.102972350495634,Bullet,Nykredit Realkredit A/S,1b,SDO,,0.0,Fixed,-0.0351,0.004,-0.065,5,-0.059,0.204,-0.2,0.0,0.0,,,,,,,,,,,1214302.4020229995,20904.821643977368
1,7317190626246131712,Lost,INQUIRY,TRADED_AWAY,DK0009299729,SELL,95.449,4526314.93,12/27/2023 09:37:08,4,,RINGKJOBING LANDBOBANK AS,RING,0.0,1678,LANGFLEX,12/29/2023 01:00:00,RDKRE 1 01/01/27,,False,05cd13e9e144c12e63dc6754cdf80bb4,95.415,95.231,95.431,95.631,0.4,0.09,0.0001886179543334,0.9980968514393868,814.7366874,95.308,2.64153110857781,-0.082204230060944,2.77797004198703,2.77797878685071,2.768766954021,4319507.6008483,1.0,43938618728.0,0.123,0.0,0.108494002272153,Bullet,RD (Kreditforeningen Danmark),1b,SDRO,,0.0,Fixed,-0.0065,0.011,-0.0265,4,-0.1665,0.001,-0.317,1094604236.19,1128854236.19,,,,,,,,,,,1882613.0484685001,25802.162376947344
2,7217776753412407303,Lost,INQUIRY,TRADED_AWAY,DK0009295149,SELL,97.898,960000.0,04/03/2023 13:00:34,2,KASPER SCHONBECK,DANSKE BANK AS,DCDUMMY,0.0,16525,LANGFLEX,04/05/2023 02:00:00,RDKRE 1 04/01/24,,False,bd27bc4e4f5e541794db2c760e981061,97.837,97.75,97.85,97.95,0.2,0.48,0.0004905467552376,0.9994691168963756,460.8,97.83,3.25880405741179,-0.472081837480188,0.945074532310741,0.945075408115628,0.939738215787,939360.0,1.0,37837082437.0,0.02,0.0,0.0182830750475205,Bullet,RD (Kreditforeningen Danmark),1b,SDRO,,0.0,Fixed,-0.0153333333333333,0.0,-0.024,3,0.0166666666666666,0.05,0.0,0.0,0.0,,,,,,,,,,,1605971.2286844996,30325.115281935803
3,7311672851696189445,Lost,INQUIRY,TRADED_AWAY,DK0009543068,SELL,100.208,548527.43,12/12/2023 12:46:02,3,,RINGKJOBING LANDBOBANK AS,RING,0.0,1925,KORTMM,12/14/2023 01:00:00,NYKRE Float 07/01/25 IO,,False,ae5e1bf629b33724b32f0da47f5bd3cb,100.188,100.015,100.19,100.365,0.35,0.1028571428571428,0.0001796586485677,0.998435709659742,98.7349374,100.18,3.33913750423762,-0.128073155207032,1.50353966950334,0.0357799398287995,0.770181838736,549569.632117,4.0358,12212179549.0,0.01,1.50354334223195,0.0035088545004669,Custom,Nykredit Realkredit A/S,1b,SDO,0.1945093982,-0.0001152905618226,Floater,0.002,0.018,-0.017,5,-0.0216,0.192,-0.15,843594558.24,936594558.24,,,,,,,,,,,11685444.648968996,41966.20169189546
4,7353620487311196199,Lost,INQUIRY,COVER_TRADED_AWAY,DK0009526139,SELL,97.318,514000.0,04/03/2024 14:43:43,2,,SAXO BANK AS,SAX,97.318,1796,LANGFLEX,04/05/2024 02:00:00,NYKRE 1 07/01/25,,False,b94628eff92e2cae5caf1d03b21e3e9a,97.316,97.086,97.286,97.486,0.4,0.16,0.0003289270809777,0.998276675625218,164.48,97.333,3.22540389376265,-0.327356260985093,1.16980487209162,1.16980618632333,1.169143049487,500050.04,1.0,27817271967.0,-0.047,0.0,0.0253756120756066,Bullet,Nykredit Realkredit A/S,1b,SDO,100.0,0.0,Fixed,0.0082,0.011,0.0025,5,-0.078,0.175,-0.266,520644624.05,538164423.13,,,,,,,,,,,3269203.411481,16281.51585763725
5,7377380362356785187,Lost,INQUIRY,TRADED_AWAY,DK0009411829,BUY,99.23,23900000.0,06/06/2024 15:24:26,5,KASPER SCHONBECK,PIMCO EUROPE GMBH UK BRANCH,PIMCODUMMY,0.0,41329,KORTMM,06/10/2024 02:00:00,JYKRE 1 10/01/24,,False,33f6f0e4d9c42dd3f4f1e730b207c66a,,99.043,99.243,99.443,0.4,0.065,0.0001309916064609,1.001888068818594,3107.0,99.283,3.29988255967386,-0.697333413380402,0.317611459885825,0.305474971885857,0.307063538325,23719077.0,1.0,20568557578.0,-0.04,0.0,0.0038703580869992,Bullet,BRFkredit,1b,SDO,100.0,-7.392486e-10,Fixed,0.00375,0.011,-0.0025,4,-0.1835,-0.05,-0.385,-150726492.6,-150726492.6,,,,,,,,,,,9787893.641742505,19769.796457445533
6,7353595490601533460,Lost,INQUIRY,COVER_TRADED_AWAY,DK0009519357,SELL,92.04,50000000.0,04/03/2024 13:06:35,4,LARS SKRIVER,DANSKE BANK AS,DCDUMMY,92.04,15231,LANGFLEX,04/05/2024 02:00:00,NYKRE 1 01/01/29,,False,d9cced501ad274920c87c7772edda21e,91.999,91.805,92.005,92.205,0.4,0.175,0.0003804141079289,0.9982105091914756,17500.0,91.92,2.84447088834157,-0.0520063196534346,4.16604137282377,4.16606635900031,4.158548846279,46002500.0,1.0,13869729607.0,0.085,0.0,0.231323030443775,Bullet,Nykredit Realkredit A/S,1b,SDO,,0.0,Fixed,0.0082,0.0225,-0.0055,5,0.0736,0.4,-0.199,13597776.95,-306402223.05,,,,,,,,,,,3260022.0257409993,14728.302647850358
7,7224098112048463873,Lost,INQUIRY,TRADED_AWAY,DK0009393316,SELL,88.98,40000000.0,04/20/2023 13:50:53,3,MOGENS DAVIDSEN,BI ASSET MGMT FONDSMAEGLERSELSKAB AS,BIDUMMY,0.0,26032,LANGFLEX,04/24/2023 02:00:00,JYKRE 1 04/01/28,,False,d1dad928f6d59ab45f9b0033ee4be5f4,88.917,88.665,88.865,89.065,0.4,0.575,0.0012940977887807,0.9990456408241172,46000.0,89.303,3.38528660584314,0.008864440092432,4.17853267581094,4.19357800388809,4.185933293735,35546000.0,1.0,4229232924.0,-0.438,0.0,0.239946459694806,Bullet,BRFkredit,1b,SDO,,0.0,Fixed,-0.0073333333333333,0.008,-0.017,3,0.1666666666666666,0.5,0.0,0.0,0.0,,,,,,,,,,,741666.5646319997,11375.051165158446
8,7308729888565362689,Won,LIMIT_ORDER,COMPLETED,DK0009534588,SELL,100.106,1273000.0,12/04/2023 14:25:12,1,KASPER SCHONBECK,SPAREKASSEN SJAELLAND FYN AS,SPSJ,100.162,19241,KORTMM,12/06/2023 01:00:00,NYKRE Float 01/01/25 IO,CARSTEN MAGAARD SKOEDEBERG,False,18c3afb250e4bde8ba8ef1267d0b6994,100.106,99.89,100.09,100.29,0.4,0.08,0.0001598561294834,0.998165320570346,203.68,100.278,3.47441472742784,-0.355271528843905,1.05854077047809,0.0672173473282101,0.555136245233,1274145.7,3.9547,19558998400.0,-0.188,1.05854127561855,0.0029583625916984,Custom,Nykredit Realkredit A/S,1b,SDO,0.2691257495,-5.10008672591e-05,Floater,0.0374,0.065,0.008,5,-0.048,0.16,-0.2,185521935.02,-377429020.67,,,,,,,,,,,11522785.243868997,46630.25339254431
9,7355851542432841768,Lost,INQUIRY,TRADED_AWAY,DK0004607538,SELL,91.388,1000000.0,04/09/2024 15:01:09,5,,"NYKREDIT REALKREDIT A/S, FINANS",NYK2,0.0,2028,LANGFLEX,04/11/2024 02:00:00,RDKRE 1 04/01/29,,False,d3c48498278720b84d9e15cfef0612e0,91.37,90.958,91.358,91.758,0.8,0.075,0.0003283784671293,0.9959676540465136,300.0,91.264,2.91141784501965,-0.0233880374089832,4.32944627943499,4.32947418042097,4.321576725452,913580.0,1.0,9828432012.0,0.094,0.0,0.250005030262912,Bullet,RD (Kreditforeningen Danmark),1b,SDRO,,0.0,Fixed,0.017375,0.0295,0.01,4,-0.27475,0.1,-0.499,450367638.56,252367638.56,,,,,,,,,,,3066126.4474910004,10127.01436782793
